chart_id,dataset,split,chart_type,image_id,image_path,success,effect_ok,problem_type,marked_tick_recovery,x_axis_type,y_axis_type,x_ticks,y_ticks,x_ticks_encrypted,y_ticks_encrypted,basic_grid_path,encrypted_grid_path,ticks_json_path,marked_tick_image_path,error
excel400k_bar_test2019_000000,bar,test2019,v_bar,0,F:\Dataset\ExcelChart400k\bardata(1031)\bardata(1031)\bar\images\test2019\8763309d9af01abde80aed0d82bd4a97_d3d3LnZvbGtzZ2V6b25kaGVpZGVuem9yZy5pbmZvCTEzMS4yMjQuMjUwLjEyMA==.xls-7-1.png,True,True,,False,文字轴,数值轴,21,8,21,15,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\v_bar\test2019\excel400k_bar_test2019_000000_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\v_bar\test2019\excel400k_bar_test2019_000000_with_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\v_bar\test2019\excel400k_bar_test2019_000000_ticks.json,,
excel400k_bar_test2019_000001,bar,test2019,h_bar,1,F:\Dataset\ExcelChart400k\bardata(1031)\bardata(1031)\bar\images\test2019\8763f43082006c32874b58150a0bc2de_d3d3LnNpZ3JoLnNwLmdvdi5icgkyMDEuNTUuOC4xOA==.xls-2-0.png,False,False,process_failed,False,,,0,0,0,0,,,,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\h_bar\test2019\excel400k_bar_test2019_000001_marked_ticks.png,
excel400k_bar_test2019_000002,bar,test2019,h_bar,2,F:\Dataset\ExcelChart400k\bardata(1031)\bardata(1031)\bar\images\test2019\8763f43082006c32874b58150a0bc2de_d3d3LnNpZ3JoLnNwLmdvdi5icgkyMDEuNTUuOC4xOA==.xls-3-0.png,False,False,process_failed,False,,,0,0,0,0,,,,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\h_bar\test2019\excel400k_bar_test2019_000002_marked_ticks.png,
excel400k_bar_test2019_000003,bar,test2019,v_bar,3,F:\Dataset\ExcelChart400k\bardata(1031)\bardata(1031)\bar\images\test2019\8763f43082006c32874b58150a0bc2de_d3d3LnNpZ3JoLnNwLmdvdi5icgkyMDEuNTUuOC4xOA==.xls-4-0.png,False,False,process_failed,False,,,0,0,0,0,,,,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\v_bar\test2019\excel400k_bar_test2019_000003_marked_ticks.png,
excel400k_bar_test2019_000004,bar,test2019,h_bar,4,F:\Dataset\ExcelChart400k\bardata(1031)\bardata(1031)\bar\images\test2019\8763f43082006c32874b58150a0bc2de_d3d3LnNpZ3JoLnNwLmdvdi5icgkyMDEuNTUuOC4xOA==.xls-5-0.png,False,False,process_failed,False,,,0,0,0,0,,,,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\h_bar\test2019\excel400k_bar_test2019_000004_marked_ticks.png,
excel400k_line_test2019_000000,line,test2019,line,,F:\Dataset\ExcelChart400k\linedata(1028)\linedata(1028)\line\images\test2019\f4225b4df53bb3fdebc333923ffae00e_Z2VucHJvay1zemZvLnJ1CTMxLjMxLjE5Ni4yMDU=.xls-2-0.png,True,True,,False,文字轴,数值轴,13,11,13,21,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000000_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000000_with_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000000_ticks.json,,
excel400k_line_test2019_000001,line,test2019,line,,F:\Dataset\ExcelChart400k\linedata(1028)\linedata(1028)\line\images\test2019\f4225b4df53bb3fdebc333923ffae00e_Z2VucHJvay1zemZvLnJ1CTMxLjMxLjE5Ni4yMDU=.xls-3-0.png,True,True,,False,文字轴,数值轴,3,11,3,21,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000001_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000001_with_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000001_ticks.json,,
excel400k_line_test2019_000002,line,test2019,line,,F:\Dataset\ExcelChart400k\linedata(1028)\linedata(1028)\line\images\test2019\f4225b4df53bb3fdebc333923ffae00e_Z2VucHJvay1zemZvLnJ1CTMxLjMxLjE5Ni4yMDU=.xls-3-1.png,True,True,,False,文字轴,数值轴,13,7,13,13,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000002_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000002_with_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000002_ticks.json,,
excel400k_line_test2019_000003,line,test2019,line,,F:\Dataset\ExcelChart400k\linedata(1028)\linedata(1028)\line\images\test2019\f4225b4df53bb3fdebc333923ffae00e_Z2VucHJvay1zemZvLnJ1CTMxLjMxLjE5Ni4yMDU=.xls-4-0.png,True,True,,False,文字轴,数值轴,13,10,13,19,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000003_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000003_with_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000003_ticks.json,,
excel400k_line_test2019_000004,line,test2019,line,,F:\Dataset\ExcelChart400k\linedata(1028)\linedata(1028)\line\images\test2019\f4226061824545abea6f8b236d592c67_YmVzdGFuZGVuLm5vb3JkLWhvbGxhbmQubmwJMTk0LjMzLjExMi4xNzk=-0-0.png,True,True,,False,数值轴,数值轴,24,6,47,11,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000004_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000004_with_grid.png,F:\program\test-demo\backend\evaluation\recheck_outputs\excelchart400k_grid\line\test2019\excel400k_line_test2019_000004_ticks.json,,
