chart_type,file,path,reason_codes,x_axis_type_pred,x_axis_type_gt,y_axis_type_pred,y_axis_type_gt,pred_x_values,pred_y_values,gt_x_ticks,gt_y_ticks
line,line_000.png,F:\program\test-demo\backend\charts\line\line_000.png,x_axis_type_wrong,numeric,text,numeric,numeric,6,7,6,13
line,line_001.png,F:\program\test-demo\backend\charts\line\line_001.png,x_axis_type_wrong,numeric,text,numeric,numeric,5,7,5,13
line,line_002.png,F:\program\test-demo\backend\charts\line\line_002.png,x_axis_type_wrong,numeric,text,numeric,numeric,5,5,5,9
line,line_005.png,F:\program\test-demo\backend\charts\line\line_005.png,x_axis_type_wrong,numeric,text,numeric,numeric,12,8,12,15
line,line_007.png,F:\program\test-demo\backend\charts\line\line_007.png,x_axis_type_wrong,numeric,text,numeric,numeric,5,5,5,9
line,line_008.png,F:\program\test-demo\backend\charts\line\line_008.png,x_axis_type_wrong,numeric,text,numeric,numeric,5,4,5,9
line,line_011.png,F:\program\test-demo\backend\charts\line\line_011.png,x_axis_type_wrong,numeric,text,numeric,numeric,8,5,8,9
line,line_012.png,F:\program\test-demo\backend\charts\line\line_012.png,x_axis_type_wrong,numeric,text,numeric,numeric,3,9,3,17
line,line_013.png,F:\program\test-demo\backend\charts\line\line_013.png,x_axis_type_wrong,numeric,text,numeric,numeric,5,6,5,11
line,line_016.png,F:\program\test-demo\backend\charts\line\line_016.png,x_axis_type_wrong,numeric,text,numeric,numeric,7,7,4,13
line,line_018.png,F:\program\test-demo\backend\charts\line\line_018.png,x_axis_type_wrong,numeric,text,numeric,numeric,4,7,4,13
line,line_020.png,F:\program\test-demo\backend\charts\line\line_020.png,x_axis_type_wrong,numeric,text,numeric,numeric,4,6,4,11
line,line_025.png,F:\program\test-demo\backend\charts\line\line_025.png,x_axis_type_wrong,numeric,text,numeric,numeric,7,9,7,17
line,line_029.png,F:\program\test-demo\backend\charts\line\line_029.png,x_axis_type_wrong,numeric,text,numeric,numeric,7,8,7,15
line,line_030.png,F:\program\test-demo\backend\charts\line\line_030.png,x_axis_type_wrong,numeric,text,numeric,numeric,2,7,2,13
line,line_036.png,F:\program\test-demo\backend\charts\line\line_036.png,x_axis_type_wrong,numeric,text,numeric,numeric,3,7,3,13
line,line_037.png,F:\program\test-demo\backend\charts\line\line_037.png,x_axis_type_wrong,numeric,text,numeric,numeric,3,7,3,13
line,line_043.png,F:\program\test-demo\backend\charts\line\line_043.png,x_axis_type_wrong,numeric,text,numeric,numeric,5,6,5,11
line,line_062.png,F:\program\test-demo\backend\charts\line\line_062.png,x_axis_type_wrong,numeric,text,numeric,numeric,4,8,4,15
line,line_065.png,F:\program\test-demo\backend\charts\line\line_065.png,x_axis_type_wrong,numeric,text,numeric,numeric,12,5,12,9
line,line_073.png,F:\program\test-demo\backend\charts\line\line_073.png,x_axis_type_wrong,numeric,text,numeric,numeric,13,6,13,11
line,line_075.png,F:\program\test-demo\backend\charts\line\line_075.png,x_axis_type_wrong,numeric,text,numeric,numeric,6,6,6,11
line,line_077.png,F:\program\test-demo\backend\charts\line\line_077.png,x_axis_type_wrong,numeric,text,numeric,numeric,3,6,3,11
line,line_083.png,F:\program\test-demo\backend\charts\line\line_083.png,x_axis_type_wrong,numeric,text,numeric,numeric,5,7,6,13
line,line_111.png,F:\program\test-demo\backend\charts\line\line_111.png,x_axis_type_wrong,numeric,text,numeric,numeric,5,7,5,13
scatter,scatter_006.png,F:\program\test-demo\backend\charts\scatter\scatter_006.png,y_axis_type_wrong,numeric,numeric,text,numeric,4,12,9,9
scatter,scatter_014.png,F:\program\test-demo\backend\charts\scatter\scatter_014.png,x_axis_type_wrong,text,numeric,numeric,numeric,11,5,9,9
scatter,scatter_025.png,F:\program\test-demo\backend\charts\scatter\scatter_025.png,x_axis_type_wrong,text,numeric,numeric,numeric,13,5,9,9
scatter,scatter_031.png,F:\program\test-demo\backend\charts\scatter\scatter_031.png,x_axis_type_wrong,text,numeric,numeric,numeric,8,5,9,9
scatter,scatter_037.png,F:\program\test-demo\backend\charts\scatter\scatter_037.png,x_axis_type_wrong,text,numeric,numeric,numeric,10,5,9,9
scatter,scatter_044.png,F:\program\test-demo\backend\charts\scatter\scatter_044.png,x_axis_type_wrong,text,numeric,numeric,numeric,11,5,9,9
scatter,scatter_047.png,F:\program\test-demo\backend\charts\scatter\scatter_047.png,x_axis_type_wrong,text,numeric,numeric,numeric,13,5,9,9
scatter,scatter_051.png,F:\program\test-demo\backend\charts\scatter\scatter_051.png,x_axis_type_wrong,text,numeric,numeric,numeric,9,5,9,9
scatter,scatter_057.png,F:\program\test-demo\backend\charts\scatter\scatter_057.png,x_axis_type_wrong,text,numeric,numeric,numeric,9,5,9,9
scatter,scatter_064.png,F:\program\test-demo\backend\charts\scatter\scatter_064.png,x_axis_type_wrong,text,numeric,numeric,numeric,10,5,9,9
scatter,scatter_065.png,F:\program\test-demo\backend\charts\scatter\scatter_065.png,x_axis_type_wrong|y_axis_type_wrong,text,numeric,text,numeric,14,14,9,9
scatter,scatter_067.png,F:\program\test-demo\backend\charts\scatter\scatter_067.png,x_axis_type_wrong,text,numeric,numeric,numeric,15,5,9,9
scatter,scatter_068.png,F:\program\test-demo\backend\charts\scatter\scatter_068.png,y_axis_type_wrong,numeric,numeric,text,numeric,5,14,9,9
scatter,scatter_076.png,F:\program\test-demo\backend\charts\scatter\scatter_076.png,x_axis_type_wrong,text,numeric,numeric,numeric,11,5,9,9
scatter,scatter_077.png,F:\program\test-demo\backend\charts\scatter\scatter_077.png,x_axis_type_wrong,text,numeric,numeric,numeric,5,5,9,9
scatter,scatter_079.png,F:\program\test-demo\backend\charts\scatter\scatter_079.png,x_axis_type_wrong,text,numeric,numeric,numeric,5,5,9,9
scatter,scatter_081.png,F:\program\test-demo\backend\charts\scatter\scatter_081.png,x_axis_type_wrong,text,numeric,numeric,numeric,10,5,9,9
scatter,scatter_089.png,F:\program\test-demo\backend\charts\scatter\scatter_089.png,y_axis_type_wrong,numeric,numeric,text,numeric,5,9,9,9
scatter,scatter_093.png,F:\program\test-demo\backend\charts\scatter\scatter_093.png,x_axis_type_wrong,text,numeric,numeric,numeric,9,5,9,9
scatter,scatter_094.png,F:\program\test-demo\backend\charts\scatter\scatter_094.png,x_axis_type_wrong,text,numeric,numeric,numeric,10,5,9,9
scatter,scatter_099.png,F:\program\test-demo\backend\charts\scatter\scatter_099.png,x_axis_type_wrong|x_numeric_ticks_lt_2,text,numeric,numeric,numeric,0,5,9,9
bubble,bubble_005.png,F:\program\test-demo\backend\charts\bubble\bubble_005.png,x_axis_type_wrong,text,numeric,numeric,numeric,8,5,9,9
bubble,bubble_012.png,F:\program\test-demo\backend\charts\bubble\bubble_012.png,x_axis_type_wrong,text,numeric,numeric,numeric,8,5,9,9
bubble,bubble_014.png,F:\program\test-demo\backend\charts\bubble\bubble_014.png,x_axis_type_wrong,text,numeric,numeric,numeric,8,5,9,9
v_bar,v_bar_000.png,F:\program\test-demo\backend\charts\v_bar\v_bar_000.png,x_axis_type_wrong|y_axis_type_wrong,numeric,text,text,numeric,8,8,8,17
v_bar,v_bar_004.png,F:\program\test-demo\backend\charts\v_bar\v_bar_004.png,y_axis_type_wrong,text,text,text,numeric,8,8,8,13
v_bar,v_bar_006.png,F:\program\test-demo\backend\charts\v_bar\v_bar_006.png,y_axis_type_wrong,text,text,text,numeric,8,8,8,11
v_bar,v_bar_008.png,F:\program\test-demo\backend\charts\v_bar\v_bar_008.png,y_axis_type_wrong,text,text,text,numeric,13,13,13,11
v_bar,v_bar_014.png,F:\program\test-demo\backend\charts\v_bar\v_bar_014.png,y_axis_type_wrong,text,text,text,numeric,5,5,5,19
v_bar,v_bar_018.png,F:\program\test-demo\backend\charts\v_bar\v_bar_018.png,y_axis_type_wrong,text,text,text,numeric,11,11,11,11
v_bar,v_bar_034.png,F:\program\test-demo\backend\charts\v_bar\v_bar_034.png,y_axis_type_wrong,text,text,text,numeric,12,12,12,13
v_bar,v_bar_039.png,F:\program\test-demo\backend\charts\v_bar\v_bar_039.png,y_axis_type_wrong,text,text,text,numeric,4,4,4,15
v_bar,v_bar_043.png,F:\program\test-demo\backend\charts\v_bar\v_bar_043.png,y_axis_type_wrong,text,text,text,numeric,6,6,6,9
v_bar,v_bar_050.png,F:\program\test-demo\backend\charts\v_bar\v_bar_050.png,y_axis_type_wrong,text,text,text,numeric,22,23,19,13
v_bar,v_bar_053.png,F:\program\test-demo\backend\charts\v_bar\v_bar_053.png,y_axis_type_wrong,text,text,text,numeric,3,3,3,15
v_bar,v_bar_056.png,F:\program\test-demo\backend\charts\v_bar\v_bar_056.png,y_axis_type_wrong,text,text,text,numeric,8,8,8,11
v_bar,v_bar_064.png,F:\program\test-demo\backend\charts\v_bar\v_bar_064.png,y_axis_type_wrong,text,text,text,numeric,12,12,12,11
v_bar,v_bar_070.png,F:\program\test-demo\backend\charts\v_bar\v_bar_070.png,y_axis_type_wrong,text,text,text,numeric,9,9,9,11
v_bar,v_bar_071.png,F:\program\test-demo\backend\charts\v_bar\v_bar_071.png,y_axis_type_wrong,text,text,text,numeric,4,4,4,11
v_bar,v_bar_074.png,F:\program\test-demo\backend\charts\v_bar\v_bar_074.png,y_axis_type_wrong,text,text,text,numeric,5,5,5,11
v_bar,v_bar_081.png,F:\program\test-demo\backend\charts\v_bar\v_bar_081.png,y_axis_type_wrong,text,text,text,numeric,9,9,9,15
v_bar,v_bar_085.png,F:\program\test-demo\backend\charts\v_bar\v_bar_085.png,y_axis_type_wrong,text,text,text,numeric,7,7,7,15
v_bar,v_bar_089.png,F:\program\test-demo\backend\charts\v_bar\v_bar_089.png,y_axis_type_wrong,text,text,text,numeric,8,8,8,17
v_bar,v_bar_090.png,F:\program\test-demo\backend\charts\v_bar\v_bar_090.png,y_axis_type_wrong,text,text,text,numeric,11,11,11,11
v_bar,v_bar_091.png,F:\program\test-demo\backend\charts\v_bar\v_bar_091.png,y_axis_type_wrong,text,text,text,numeric,11,11,11,17
v_bar,v_bar_093.png,F:\program\test-demo\backend\charts\v_bar\v_bar_093.png,y_axis_type_wrong,text,text,text,numeric,4,4,4,11
v_bar,v_bar_098.png,F:\program\test-demo\backend\charts\v_bar\v_bar_098.png,y_axis_type_wrong,text,text,text,numeric,10,10,10,13
v_bar,v_bar_113.png,F:\program\test-demo\backend\charts\v_bar\v_bar_113.png,x_axis_type_wrong|y_axis_type_wrong,numeric,text,text,numeric,5,5,5,11
v_bar,v_bar_114.png,F:\program\test-demo\backend\charts\v_bar\v_bar_114.png,x_axis_type_wrong,numeric,text,numeric,numeric,5,10,5,19
v_bar,v_bar_118.png,F:\program\test-demo\backend\charts\v_bar\v_bar_118.png,y_axis_type_wrong,text,text,text,numeric,12,12,12,11
v_bar,v_bar_127.png,F:\program\test-demo\backend\charts\v_bar\v_bar_127.png,x_axis_type_wrong,numeric,text,numeric,numeric,2,6,2,11
v_bar,v_bar_133.png,F:\program\test-demo\backend\charts\v_bar\v_bar_133.png,x_axis_type_wrong,numeric,text,numeric,numeric,20,7,20,13
v_bar,v_bar_138.png,F:\program\test-demo\backend\charts\v_bar\v_bar_138.png,y_axis_type_wrong,text,text,text,numeric,9,9,9,15
v_bar,v_bar_139.png,F:\program\test-demo\backend\charts\v_bar\v_bar_139.png,y_axis_type_wrong,text,text,text,numeric,13,13,13,17
v_bar,v_bar_144.png,F:\program\test-demo\backend\charts\v_bar\v_bar_144.png,y_axis_type_wrong,text,text,text,numeric,5,5,5,13
v_bar,v_bar_156.png,F:\program\test-demo\backend\charts\v_bar\v_bar_156.png,y_axis_type_wrong,text,text,text,numeric,13,13,13,11
v_bar,v_bar_161.png,F:\program\test-demo\backend\charts\v_bar\v_bar_161.png,y_axis_type_wrong,text,text,text,numeric,10,10,10,13
v_bar,v_bar_176.png,F:\program\test-demo\backend\charts\v_bar\v_bar_176.png,y_axis_type_wrong,text,text,text,numeric,7,7,7,13
v_bar,v_bar_177.png,F:\program\test-demo\backend\charts\v_bar\v_bar_177.png,y_axis_type_wrong,text,text,text,numeric,11,11,11,15
v_bar,v_bar_178.png,F:\program\test-demo\backend\charts\v_bar\v_bar_178.png,y_axis_type_wrong,text,text,text,numeric,8,8,8,11
v_bar,v_bar_180.png,F:\program\test-demo\backend\charts\v_bar\v_bar_180.png,y_axis_type_wrong,text,text,text,numeric,5,5,5,13
v_bar,v_bar_193.png,F:\program\test-demo\backend\charts\v_bar\v_bar_193.png,y_axis_type_wrong,text,text,text,numeric,11,11,11,13
v_bar,v_bar_195.png,F:\program\test-demo\backend\charts\v_bar\v_bar_195.png,y_axis_type_wrong,text,text,text,numeric,9,9,9,11
h_bar,h_bar_000.png,F:\program\test-demo\backend\charts\h_bar\h_bar_000.png,y_axis_type_wrong,numeric,numeric,numeric,text,6,6,11,1
h_bar,h_bar_003.png,F:\program\test-demo\backend\charts\h_bar\h_bar_003.png,x_axis_type_wrong,text,numeric,text,text,10,10,15,10
h_bar,h_bar_006.png,F:\program\test-demo\backend\charts\h_bar\h_bar_006.png,x_axis_type_wrong,text,numeric,text,text,12,12,15,12
h_bar,h_bar_018.png,F:\program\test-demo\backend\charts\h_bar\h_bar_018.png,x_axis_type_wrong,text,numeric,text,text,24,24,17,23
h_bar,h_bar_026.png,F:\program\test-demo\backend\charts\h_bar\h_bar_026.png,x_axis_type_wrong,text,numeric,text,text,5,5,13,5
h_bar,h_bar_030.png,F:\program\test-demo\backend\charts\h_bar\h_bar_030.png,x_axis_type_wrong,text,numeric,text,text,8,8,11,8
h_bar,h_bar_031.png,F:\program\test-demo\backend\charts\h_bar\h_bar_031.png,x_axis_type_wrong,text,numeric,text,text,19,19,13,19
h_bar,h_bar_033.png,F:\program\test-demo\backend\charts\h_bar\h_bar_033.png,x_axis_type_wrong,text,numeric,text,text,8,8,9,8
h_bar,h_bar_041.png,F:\program\test-demo\backend\charts\h_bar\h_bar_041.png,x_axis_type_wrong,text,numeric,text,text,18,18,11,18
h_bar,h_bar_047.png,F:\program\test-demo\backend\charts\h_bar\h_bar_047.png,x_axis_type_wrong,text,numeric,text,text,5,5,15,5
h_bar,h_bar_048.png,F:\program\test-demo\backend\charts\h_bar\h_bar_048.png,x_axis_type_wrong,text,numeric,text,text,4,3,13,3
h_bar,h_bar_050.png,F:\program\test-demo\backend\charts\h_bar\h_bar_050.png,x_axis_type_wrong,text,numeric,text,text,9,9,13,9
h_bar,h_bar_051.png,F:\program\test-demo\backend\charts\h_bar\h_bar_051.png,x_axis_type_wrong,text,numeric,text,text,10,10,11,10
h_bar,h_bar_052.png,F:\program\test-demo\backend\charts\h_bar\h_bar_052.png,x_axis_type_wrong,text,numeric,text,text,11,11,11,11
h_bar,h_bar_054.png,F:\program\test-demo\backend\charts\h_bar\h_bar_054.png,x_axis_type_wrong,text,numeric,text,text,3,5,9,5
h_bar,h_bar_057.png,F:\program\test-demo\backend\charts\h_bar\h_bar_057.png,x_axis_type_wrong,text,numeric,text,text,20,20,11,20
h_bar,h_bar_060.png,F:\program\test-demo\backend\charts\h_bar\h_bar_060.png,x_axis_type_wrong,text,numeric,text,text,20,20,19,20
h_bar,h_bar_063.png,F:\program\test-demo\backend\charts\h_bar\h_bar_063.png,x_axis_type_wrong,text,numeric,text,text,4,4,11,4
h_bar,h_bar_073.png,F:\program\test-demo\backend\charts\h_bar\h_bar_073.png,x_axis_type_wrong,text,numeric,text,text,9,9,17,9
h_bar,h_bar_075.png,F:\program\test-demo\backend\charts\h_bar\h_bar_075.png,x_axis_type_wrong,text,numeric,text,text,3,3,11,3
h_bar,h_bar_081.png,F:\program\test-demo\backend\charts\h_bar\h_bar_081.png,x_axis_type_wrong,text,numeric,text,text,10,10,9,10
h_bar,h_bar_084.png,F:\program\test-demo\backend\charts\h_bar\h_bar_084.png,x_axis_type_wrong,text,numeric,text,text,10,10,15,10
h_bar,h_bar_085.png,F:\program\test-demo\backend\charts\h_bar\h_bar_085.png,x_axis_type_wrong,text,numeric,text,text,4,4,15,4
h_bar,h_bar_089.png,F:\program\test-demo\backend\charts\h_bar\h_bar_089.png,x_axis_type_wrong,text,numeric,text,text,13,13,13,13
h_bar,h_bar_098.png,F:\program\test-demo\backend\charts\h_bar\h_bar_098.png,x_axis_type_wrong,text,numeric,text,text,9,9,11,9
h_bar,h_bar_099.png,F:\program\test-demo\backend\charts\h_bar\h_bar_099.png,x_axis_type_wrong,text,numeric,text,text,15,15,11,15
h_bar,h_bar_101.png,F:\program\test-demo\backend\charts\h_bar\h_bar_101.png,x_axis_type_wrong,text,numeric,text,text,20,20,9,20
h_bar,h_bar_103.png,F:\program\test-demo\backend\charts\h_bar\h_bar_103.png,x_axis_type_wrong,text,numeric,text,text,20,20,15,20
