chart_type,file,source_path,old_reason_codes,new_reason_codes,x_axis_type_pred,x_axis_type_gt,y_axis_type_pred,y_axis_type_gt,x_ticks,y_ticks,x_ticks_encrypted,y_ticks_encrypted,grid_path,encrypted_grid_path,ticks_json_path,error
line,line_008.png,F:\program\test-demo\backend\charts\line\line_008.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_008_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_008_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_008_ticks.json,
line,line_011.png,F:\program\test-demo\backend\charts\line\line_011.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,8,5,15,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_011_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_011_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_011_ticks.json,
line,line_013.png,F:\program\test-demo\backend\charts\line\line_013.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,5,6,9,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_013_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_013_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_013_ticks.json,
line,line_043.png,F:\program\test-demo\backend\charts\line\line_043.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,5,6,9,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_043_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_043_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_043_ticks.json,
line,line_065.png,F:\program\test-demo\backend\charts\line\line_065.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,12,5,23,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_065_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_065_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_065_ticks.json,
line,line_077.png,F:\program\test-demo\backend\charts\line\line_077.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,3,6,5,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_077_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_077_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_077_ticks.json,
line,line_111.png,F:\program\test-demo\backend\charts\line\line_111.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,5,7,9,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_111_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_111_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_111_ticks.json,
v_bar,v_bar_118.png,F:\program\test-demo\backend\charts\v_bar\v_bar_118.png,y_axis_type_wrong,process_failed,unknown,text,unknown,numeric,0,0,0,0,,,,not_enough_tick_lines
h_bar,h_bar_000.png,F:\program\test-demo\backend\charts\h_bar\h_bar_000.png,y_axis_type_wrong,y_axis_type_wrong,numeric,numeric,numeric,text,6,2,11,3,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\h_bar\h_bar_000_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\h_bar\h_bar_000_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\h_bar\h_bar_000_ticks.json,
h_bar,h_bar_057.png,F:\program\test-demo\backend\charts\h_bar\h_bar_057.png,x_axis_type_wrong,process_failed,unknown,numeric,unknown,text,0,0,0,0,,,,not_enough_tick_lines
h_bar,h_bar_117.png,F:\program\test-demo\backend\charts\h_bar\h_bar_117.png,x_axis_type_wrong,process_failed,unknown,numeric,unknown,text,0,0,0,0,,,,not_enough_tick_lines
h_bar,h_bar_144.png,F:\program\test-demo\backend\charts\h_bar\h_bar_144.png,x_axis_type_wrong,process_failed,unknown,numeric,unknown,text,0,0,0,0,,,,not_enough_tick_lines
h_bar,h_bar_147.png,F:\program\test-demo\backend\charts\h_bar\h_bar_147.png,x_axis_type_wrong,process_failed,unknown,numeric,unknown,text,0,0,0,0,,,,not_enough_tick_lines
h_bar,h_bar_150.png,F:\program\test-demo\backend\charts\h_bar\h_bar_150.png,x_axis_type_wrong,process_failed,unknown,numeric,unknown,text,0,0,0,0,,,,not_enough_tick_lines
h_bar,h_bar_174.png,F:\program\test-demo\backend\charts\h_bar\h_bar_174.png,x_axis_type_wrong,process_failed,unknown,numeric,unknown,text,0,0,0,0,,,,not_enough_tick_lines
