chart_type,file,source_path,old_reason_codes,new_reason_codes,x_axis_type_pred,x_axis_type_gt,y_axis_type_pred,y_axis_type_gt,x_ticks,y_ticks,x_ticks_encrypted,y_ticks_encrypted,grid_path,encrypted_grid_path,ticks_json_path,error
line,line_000.png,F:\program\test-demo\backend\charts\line\line_000.png,x_axis_type_wrong,,text,text,numeric,numeric,6,7,6,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_000_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_000_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_000_ticks.json,
line,line_001.png,F:\program\test-demo\backend\charts\line\line_001.png,x_axis_type_wrong,,text,text,numeric,numeric,5,7,5,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_001_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_001_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_001_ticks.json,
line,line_002.png,F:\program\test-demo\backend\charts\line\line_002.png,x_axis_type_wrong,,text,text,numeric,numeric,5,5,5,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_002_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_002_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_002_ticks.json,
line,line_005.png,F:\program\test-demo\backend\charts\line\line_005.png,x_axis_type_wrong,,text,text,numeric,numeric,12,8,12,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_005_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_005_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_005_ticks.json,
line,line_007.png,F:\program\test-demo\backend\charts\line\line_007.png,x_axis_type_wrong,,text,text,numeric,numeric,5,5,5,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_007_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_007_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_007_ticks.json,
line,line_008.png,F:\program\test-demo\backend\charts\line\line_008.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_008_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_008_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_008_ticks.json,
line,line_011.png,F:\program\test-demo\backend\charts\line\line_011.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,8,5,15,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_011_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_011_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_011_ticks.json,
line,line_012.png,F:\program\test-demo\backend\charts\line\line_012.png,x_axis_type_wrong,,text,text,numeric,numeric,3,9,3,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_012_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_012_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_012_ticks.json,
line,line_013.png,F:\program\test-demo\backend\charts\line\line_013.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,5,6,9,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_013_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_013_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_013_ticks.json,
line,line_016.png,F:\program\test-demo\backend\charts\line\line_016.png,x_axis_type_wrong,,text,text,numeric,numeric,4,7,4,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_016_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_016_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_016_ticks.json,
