country,annual_growth
Luxembourg,2.05
Cyprus,1.38
Ireland,1.2
Iceland,1.17
Kazakhstan,1.09
Norway,1.07
Azerbaijan,0.92
Turkey,0.9
Spain,0.84
Liechtenstein,0.82
Sweden,0.81
Belgium,0.73
Switzerland,0.7
United Kingdom,0.53
Austria,0.51
France,0.41
Netherlands,0.4
Finland,0.38
Albania,0.31
Malta,0.29
European Union,0.25
Italy,0.23
Denmark,0.22
Macedonia,0.18
Monaco,0.18
Czech Republic,0.14
Andorra,0.07
Portugal,0.07
Slovakia,0.01
Greece,-0.03
Georgia,-0.05
Russia,-0.06
Poland,-0.11
Bosnia and Herzegovina,-0.14
Germany,-0.16
Armenia,-0.18
Belarus,-0.21
Hungary,-0.24
Slovenia,-0.29
Romania,-0.32
Montenegro,-0.35
Ukraine,-0.39
Serbia,-0.46
Croatia,-0.5
Estonia,-0.54
Bulgaria,-0.6
Moldova,-1.04
Lithuania,-1.06
Latvia,-1.07
