Entity,Year,Gini coefficient,Continent
Abkhazia,2015,,Asia
Afghanistan,2015,,Asia
Akrotiri and Dhekelia,2015,,Asia
Aland Islands,2015,,Europe
Albania,1996,0.27010342,
Albania,2002,0.3173898,
Albania,2005,0.30595654,
Albania,2008,0.2998467,
Albania,2012,0.28960484,
Albania,2014,0.34598896,
Albania,2015,0.32753733,Europe
Albania,2016,0.33736297,
Albania,2017,0.33055663,
Albania,2018,0.30148283,
Albania,2019,0.30115768,
Albania,2020,0.2941963,
Algeria,1988,0.37356994,
Algeria,1995,0.35330054,
Algeria,2011,0.27615732,
Algeria,2015,,Africa
American Samoa,2015,,Oceania
Andorra,2015,,Europe
Angola,2000,0.5194472,
Angola,2008,0.42715514,
Angola,2015,,Africa
Angola,2018,0.51263994,
Anguilla,2015,,North America
Antarctica,2015,,Antarctica
Antigua and Barbuda,2015,,North America
Argentina,2015,,South America
Argentina (urban),1980,0.4083086,
Argentina (urban),1986,0.42797783,
Argentina (urban),1987,0.4526751,
Argentina (urban),1991,0.46754456,
Argentina (urban),1992,0.45455167,
Argentina (urban),1993,0.4484342,
Argentina (urban),1994,0.458985,
Argentina (urban),1995,0.4887874,
Argentina (urban),1996,0.49491405,
Argentina (urban),1997,0.4908586,
Argentina (urban),1998,0.50713223,
Argentina (urban),1999,0.49766296,
Argentina (urban),2000,0.5103861,
Argentina (urban),2001,0.53294307,
Argentina (urban),2002,0.5376044,
Argentina (urban),2003,0.5099472,
Argentina (urban),2004,0.48483652,
Argentina (urban),2005,0.47810388,
Argentina (urban),2006,0.46444556,
Argentina (urban),2007,0.4628268,
Argentina (urban),2008,0.4498683,
Argentina (urban),2009,0.43759,
Argentina (urban),2010,0.43676597,
Argentina (urban),2011,0.42737958,
Argentina (urban),2012,0.41437393,
Argentina (urban),2013,0.41086507,
Argentina (urban),2014,0.4182253,
Argentina (urban),2016,0.42345047,
Argentina (urban),2017,0.41434836,
Argentina (urban),2018,0.41719007,
Argentina (urban),2019,0.43314177,
Argentina (urban),2020,0.42743757,
Argentina (urban),2021,0.4244559,
Argentina (urban),2022,0.40736493,
Armenia,1999,0.36219725,
Armenia,2001,0.3536436,
Armenia,2002,0.34779674,
Armenia,2003,0.33028087,
Armenia,2004,0.37505633,
Armenia,2005,0.35992354,
Armenia,2006,0.29709986,
Armenia,2007,0.31226057,
Armenia,2008,0.2918814,
Armenia,2009,0.2801588,
Armenia,2010,0.29992583,
Armenia,2011,0.29352945,
Armenia,2012,0.29602262,
Armenia,2013,0.30579662,
Armenia,2014,0.3148329,
Armenia,2015,0.32356772,Asia
Armenia,2016,0.32547948,
Armenia,2017,0.3362184,
Armenia,2018,0.344335,
Armenia,2019,0.30031213,
Armenia,2020,0.25131604,
Armenia,2021,0.2794013,
Armenia,2022,0.27945295,
Aruba,2015,,North America
Australia,1981,0.31324756,
Australia,1985,0.3249643,
Australia,1989,0.33151928,
Australia,1995,0.3257863,
Australia,2001,0.33462042,
Australia,2003,0.3349686,
Australia,2004,0.3305577,
Australia,2008,0.3542851,
Australia,2010,0.34656727,
Australia,2014,0.34398198,
Australia,2015,,Oceania
Australia,2016,0.33685225,
Australia,2018,0.34332561,
Austria,1994,0.3082802,
Austria,1995,0.29914328,
Austria,1996,0.29317808,
Austria,1997,0.29065368,
Austria,1998,0.31340772,
Austria,1999,0.2967054,
Austria,2000,0.28964692,
Austria,2003,0.29465577,
Austria,2004,0.29788825,
Austria,2005,0.28715184,
Austria,2006,0.29587558,
Austria,2007,0.30579385,
Austria,2008,0.30437064,
Austria,2009,0.31494802,
Austria,2010,0.3025161,
Austria,2011,0.30801,
Austria,2012,0.30475533,
Austria,2013,0.30752888,
Austria,2014,0.3053535,
Austria,2015,0.30530685,Europe
Austria,2016,0.3079501,
Austria,2017,0.2973688,
Austria,2018,0.30847305,
Austria,2019,0.3021043,
Austria,2020,0.29800606,
Austria,2021,0.30701602,
Austria-Hungary,2015,,Europe
Azerbaijan,1995,0.3464838,
Azerbaijan,2001,0.36454937,
Azerbaijan,2002,0.25277665,
Azerbaijan,2003,0.2683288,
Azerbaijan,2004,0.26621592,
Azerbaijan,2005,0.26554906,
Azerbaijan,2015,,Asia
Baden,2015,,Europe
Bahamas,2015,,North America
Bahrain,2015,,Asia
Bangladesh,1983,0.2587649,
Bangladesh,1985,0.26917496,
Bangladesh,1988,0.28846547,
Bangladesh,1991,0.27570805,
Bangladesh,1995,0.32942984,
Bangladesh,2000,0.33406532,
Bangladesh,2005,0.33201292,
Bangladesh,2010,0.32130313,
Bangladesh,2015,,Asia
Bangladesh,2016,0.32385272,
Bangladesh,2022,0.33373156,
Barbados,2015,,North America
Bavaria,2015,,Europe
Belarus,1998,0.3201835,
Belarus,1999,0.31738147,
Belarus,2000,0.31167483,
Belarus,2001,0.30576724,
Belarus,2002,0.30336243,
Belarus,2003,0.28821012,
Belarus,2004,0.26479885,
Belarus,2005,0.2755341,
Belarus,2006,0.28275442,
Belarus,2007,0.2961238,
Belarus,2008,0.27826044,
Belarus,2009,0.27689305,
Belarus,2010,0.285666,
Belarus,2011,0.2715255,
Belarus,2012,0.26526198,
Belarus,2013,0.26575053,
Belarus,2014,0.27176666,
Belarus,2015,0.25633225,Europe
Belarus,2016,0.25306615,
Belarus,2017,0.2544457,
Belarus,2018,0.25240526,
Belarus,2019,0.25277847,
Belarus,2020,0.24383356,
Belgium,1985,0.2520385,
Belgium,1988,0.25711522,
Belgium,1992,0.2494629,
Belgium,1995,0.28410766,
Belgium,1997,0.2683214,
Belgium,2000,0.33135915,
Belgium,2003,0.28143317,
Belgium,2004,0.30541426,
Belgium,2005,0.29336902,
Belgium,2006,0.28054035,
Belgium,2007,0.29237667,
Belgium,2008,0.28373718,
Belgium,2009,0.28551185,
Belgium,2010,0.28374815,
Belgium,2011,0.2806043,
Belgium,2012,0.27490476,
Belgium,2013,0.27668843,
Belgium,2014,0.28134006,
Belgium,2015,0.27729303,Europe
Belgium,2016,0.2758073,
Belgium,2017,0.27387637,
Belgium,2018,0.2721419,
Belgium,2019,0.27219546,
Belgium,2020,0.2595828,
Belgium,2021,0.2657763,
Belize,1993,0.6022769,
Belize,1994,0.60867983,
Belize,1996,0.5654803,
Belize,1997,0.6035009,
Belize,1998,0.54866445,
Belize,1999,0.5323102,
Belize,2015,,North America
Benin,2003,0.3857762,
Benin,2011,0.43439555,
Benin,2015,0.4762964,Africa
Benin,2018,0.37948644,
Benin,2021,0.34395808,
Bermuda,2015,,North America
Bhutan,2003,0.40898,
Bhutan,2007,0.3809077,
Bhutan,2012,0.38809326,
Bhutan,2015,,Asia
Bhutan,2017,0.3744141,
Bhutan,2022,0.2845992,
Bolivia,1997,0.5814129,
Bolivia,1999,0.5803485,
Bolivia,2000,0.61563873,
Bolivia,2001,0.57366186,
Bolivia,2002,0.59274095,
Bolivia,2004,0.5500019,
Bolivia,2005,0.58518255,
Bolivia,2006,0.56660104,
Bolivia,2007,0.5453242,
Bolivia,2008,0.50814897,
Bolivia,2009,0.4922026,
Bolivia,2011,0.46080348,
Bolivia,2012,0.46579948,
Bolivia,2013,0.47588572,
Bolivia,2014,0.47829148,
Bolivia,2015,0.46731615,South America
Bolivia,2016,0.45240772,
Bolivia,2017,0.4461778,
Bolivia,2018,0.4257908,
Bolivia,2019,0.416443,
Bolivia,2020,0.4364544,
Bolivia,2021,0.40913323,
Bolivia (urban),1990,0.42035723,
Bolivia (urban),1992,0.4907205,
Bonaire Sint Eustatius and Saba,2015,,North America
Bosnia and Herzegovina,2001,0.2996643,
Bosnia and Herzegovina,2004,0.3403749,
Bosnia and Herzegovina,2007,0.33061588,
Bosnia and Herzegovina,2011,0.33030185,
Bosnia and Herzegovina,2015,,Europe
Botswana,1985,0.5421201,
Botswana,1993,0.6014759,
Botswana,2002,0.6472722,
Botswana,2009,0.604583,
Botswana,2015,0.5332503,Africa
Bouvet Island,2015,,Antarctica
Brazil,1981,0.5786262,
Brazil,1982,0.5835481,
Brazil,1983,0.58902174,
Brazil,1984,0.58297414,
Brazil,1985,0.5552505,
Brazil,1986,0.5843224,
Brazil,1987,0.59642065,
Brazil,1988,0.61370975,
Brazil,1989,0.6324467,
Brazil,1990,0.6044999,
Brazil,1992,0.5310165,
Brazil,1993,0.600656,
Brazil,1995,0.59530365,
Brazil,1996,0.5983732,
Brazil,1997,0.59753734,
Brazil,1998,0.5956541,
Brazil,1999,0.5895037,
Brazil,2001,0.5840255,
Brazil,2002,0.58105445,
Brazil,2003,0.57553095,
Brazil,2004,0.564716,
Brazil,2005,0.56309944,
Brazil,2006,0.5564207,
Brazil,2007,0.54918945,
Brazil,2008,0.5403744,
Brazil,2009,0.5368187,
Brazil,2011,0.5294164,
Brazil,2012,0.53435296,
Brazil,2013,0.5268333,
Brazil,2014,0.5202964,
Brazil,2015,0.51926446,South America
Brazil,2016,0.533671,
Brazil,2017,0.53321064,
Brazil,2018,0.5388832,
Brazil,2019,0.5350931,
Brazil,2020,0.48902002,
Brazil,2021,0.52938724,
Brazil,2022,0.5201522,
British Indian Ocean Territory,2015,,Asia
British Virgin Islands,2015,,North America
Brunei,2015,,Asia
Bulgaria,1992,0.3071431,
Bulgaria,2006,0.3568935,
Bulgaria,2007,0.36095893,
Bulgaria,2008,0.33572584,
Bulgaria,2009,0.3382308,
Bulgaria,2010,0.3565347,
Bulgaria,2011,0.34275046,
Bulgaria,2012,0.36011046,
Bulgaria,2013,0.36570963,
Bulgaria,2014,0.37415925,
Bulgaria,2015,0.38564444,Europe
Bulgaria,2016,0.40589708,
Bulgaria,2017,0.40378964,
Bulgaria,2018,0.41284075,
Bulgaria,2019,0.40271127,
Bulgaria,2020,0.40523154,
Bulgaria,2021,0.3900545,
Burkina Faso,1994,0.4802524,
Burkina Faso,1998,0.49877948,
Burkina Faso,2003,0.4325128,
Burkina Faso,2009,0.39761,
Burkina Faso,2014,0.35301226,
Burkina Faso,2015,,Africa
Burkina Faso,2018,0.43016732,
Burkina Faso,2021,0.37391287,
Burundi,1992,0.3333381,
Burundi,1998,0.42059556,
Burundi,2006,0.33359864,
Burundi,2013,0.38623992,
Burundi,2015,,Africa
Burundi,2020,0.37456092,
Cambodia,2015,,Asia
Cameroon,1996,0.44446665,
Cameroon,2001,0.42136794,
Cameroon,2007,0.42820063,
Cameroon,2014,0.46640873,
Cameroon,2015,,Africa
Cameroon,2021,0.42176074,
Canada,1971,0.3724673,
Canada,1973,0.34901822,
Canada,1975,0.34087208,
Canada,1977,0.33729303,
Canada,1979,0.3346914,
Canada,1981,0.32963082,
Canada,1982,0.329306,
Canada,1984,0.33518428,
Canada,1985,0.33174872,
Canada,1986,0.3167582,
Canada,1987,0.31653875,
Canada,1988,0.31197873,
Canada,1989,0.3101252,
Canada,1990,0.31365362,
Canada,1991,0.31943396,
Canada,1992,0.3156432,
Canada,1993,0.31675926,
Canada,1994,0.3130381,
Canada,1995,0.3150958,
Canada,1996,0.32768053,
Canada,1997,0.33116943,
Canada,1998,0.33217245,
Canada,1999,0.33060935,
Canada,2000,0.33418295,
Canada,2001,0.33554783,
Canada,2002,0.3356031,
Canada,2003,0.33809465,
Canada,2004,0.33776483,
Canada,2005,0.33621806,
Canada,2006,0.3409054,
Canada,2007,0.33841008,
Canada,2008,0.33930567,
Canada,2009,0.33952153,
Canada,2010,0.33592603,
Canada,2011,0.32657078,
Canada,2012,0.33539012,
Canada,2013,0.3379898,
Canada,2014,0.33157605,
Canada,2015,0.33746484,North America
Canada,2016,0.32701823,
Canada,2017,0.33308205,
Canada,2018,0.3250927,
Canada,2019,0.31749648,
Cape Verde,2001,0.5249597,
Cape Verde,2007,0.47187388,
Cape Verde,2015,0.42381087,Africa
Cayman Islands,2015,,North America
Central African Republic,1992,0.5927244,
Central African Republic,2008,0.56177914,
Central African Republic,2015,,Africa
Central African Republic,2021,0.43027893,
Chad,2003,0.39809614,
Chad,2011,0.43319756,
Chad,2015,,Africa
Chad,2018,0.37499154,
Chad,2022,0.373575,
Channel Islands,2015,,Europe
Chile,1987,0.56193036,
Chile,1990,0.5723538,
Chile,1992,0.54806453,
Chile,1994,0.5642096,
Chile,1996,0.54868835,
Chile,1998,0.5551666,
Chile,2000,0.5275838,
Chile,2003,0.51475215,
Chile,2006,0.47706816,
Chile,2009,0.47404596,
Chile,2011,0.46868134,
Chile,2013,0.46823916,
Chile,2015,0.45343325,South America
Chile,2017,0.4526995,
Chile,2020,0.4700476,
Chile,2022,0.4304274,
China,1981,0.28164098,
China,1984,0.271023,
China,1987,0.29385957,
China,1990,0.3222662,
China,1993,0.338778,
China,1996,0.3522766,
China,1999,0.38703215,
China,2002,0.41985723,
China,2005,0.40900767,
China,2008,0.4296504,
China,2010,0.43744954,
China,2011,0.42409223,
China,2012,0.42237166,
China,2013,0.397364,
China,2014,0.39177653,
China,2015,0.38595304,Asia
China,2016,0.38480517,
China,2017,0.39075777,
China,2018,0.38497642,
China,2019,0.38168344,
China,2020,0.37090832,
China,2021,0.35743752,
China (rural),1981,0.24729232,
China (rural),1984,0.2668613,
China (rural),1987,0.29451063,
China (rural),1990,0.30475813,
China (rural),1993,0.2804393,
China (rural),1996,0.33620438,
China (rural),1999,0.35389417,
China (rural),2002,0.38019347,
China (rural),2005,0.35849202,
China (rural),2008,0.39399046,
China (rural),2010,0.4060783,
China (rural),2011,0.38497442,
China (rural),2012,0.39497343,
China (rural),2013,0.33971012,
China (rural),2014,0.3375639,
China (rural),2015,0.33242807,
China (rural),2016,0.33179837,
China (rural),2017,0.34255984,
China (rural),2018,0.33541563,
China (rural),2019,0.3267486,
China (rural),2020,0.31574252,
China (rural),2021,0.30404037,
China (urban),1981,0.18508829,
China (urban),1984,0.17744046,
China (urban),1987,0.20129786,
China (urban),1990,0.2559464,
China (urban),1993,0.2846636,
China (urban),1996,0.29089227,
China (urban),1999,0.31547564,
China (urban),2002,0.3339575,
China (urban),2005,0.3473589,
China (urban),2008,0.35154304,
China (urban),2010,0.3574452,
China (urban),2011,0.35559225,
China (urban),2012,0.3535335,
China (urban),2013,0.3668623,
