State,Difference
California,2257700
Texas,3850320
Florida,2676427
New York,75459
Pennsylvania,99610
Illinois,-158811
Ohio,152596
Georgia,929770
North Carolina,952601
Michigan,103217
New Jersey,90296
Virginia,534495
Washington,890353
Arizona,886700
Massachusetts,401874
Tennessee,487069
Indiana,248417
Missouri,148501
Maryland,272128
Wisconsin,135448
Colorado,729540
Minnesota,335707
South Carolina,523350
Alabama,123449
Louisiana,115422
Kentucky,128306
Oregon,386663
Oklahoma,205620
Connecticut,-8810
Utah,442073
Puerto Rico,-532095
Iowa,108715
Nevada,379605
Arkansas,101907
Mississippi,8852
Kansas,60196
New Mexico,37650
Nebraska,108067
West Virginia,-60929
Idaho,219565
Hawaii,55571
New Hampshire,43241
Maine,15851
Montana,79363
Rhode Island,6794
Delaware,75830
South Dakota,70479
North Dakota,89471
Alaska,21314
District of Columbia,104026
Vermont,-1752
Wyoming,15133
