artist,opinion,count
DJ Khalid,terrible,20
DJ Khalid,not-half-bad,15
DJ Khalid,okay,27
DJ Khalid,no-thanks,55
DJ Khalid,love-it,7
DJ Khalid,favorite,5
Olivia Rodrigo,love-it,13
Olivia Rodrigo,not-half-bad,15
Olivia Rodrigo,okay,4
Olivia Rodrigo,favorite,5
Olivia Rodrigo,terrible,3
6ix9ine,love-it,9
6ix9ine,favorite,4
6ix9ine,terrible,1
6ix9ine,okay,12
6ix9ine,no-thanks,5
6ix9ine,not-half-bad,5
Bad Bunny,no-thanks,2
Bad Bunny,okay,4
Bad Bunny,love-it,7 
Bad Bunny,favorite,7
Bad Bunny,not-half-bad,7
Eminem,okay,4
Eminem,no-thanks,5
Eminem,love-it,5
Eminem,not-half-bad,2
Eminem,wtf,1
Billie Eilish,okay,5
Billie Eilish,not-half-bad,4
Billie Eilish,favorite,3
Billie Eilish,no-thanks,1
Billie Eilish,love-it,2
Ye,okay,1
Ye,favorite,4
Ye,not-half-bad,3
Ye,love-it,4
Ye,no-thanks,1
Justin Bieber,no-thanks,1
Justin Bieber,favorite,3
Justin Bieber,okay,3
Justin Bieber,love-it,4
Justin Bieber,not-half-bad,2
Yung Gravy,not-half-bad,3
Yung Gravy,favorite,3
Yung Gravy,love-it,4
Yung Gravy,okay,1
Yung Gravy,no-thanks,1
