Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Pikachu,35,55,40,50,50,90
Raichu,60,90,55,90,80,110
Magnemite,25,35,70,95,55,45
Magneton,50,60,95,120,70,70
Voltorb,40,30,50,55,55,100
Electrode,60,50,70,80,80,140
Electabuzz,65,83,57,95,85,105
Jolteon,65,65,60,110,95,130
Zapdos,90,90,85,125,90,100
Pichu,20,40,15,35,35,60
Mareep,55,40,40,65,45,35
Flaaffy,70,55,55,80,60,45
Ampharos,90,75,85,115,90,55
AmpharosMega Ampharos,90,95,105,165,110,45
Elekid,45,63,37,65,55,95
Raikou,90,85,75,115,100,115
Electrike,40,45,40,65,40,65
Manectric,70,75,60,105,60,105
ManectricMega Manectric,70,75,80,135,80,135
Plusle,60,50,40,85,75,95
Minun,60,40,50,75,85,95
Shinx,45,65,34,40,34,45
Luxio,60,85,49,60,49,60
Luxray,80,120,79,95,79,70
Pachirisu,60,45,70,45,90,95
Magnezone,70,70,115,130,90,60
Electivire,75,123,67,95,85,95
Rotom,50,50,77,95,77,91
RotomHeat Rotom,50,65,107,105,107,86
RotomWash Rotom,50,65,107,105,107,86
RotomFrost Rotom,50,65,107,105,107,86
RotomFan Rotom,50,65,107,105,107,86
RotomMow Rotom,50,65,107,105,107,86
Blitzle,45,60,32,50,32,76
Zebstrika,75,100,63,80,63,116
Emolga,55,75,60,75,60,103
Tynamo,35,55,40,45,40,60
Eelektrik,65,85,70,75,70,40
Eelektross,85,115,80,105,80,50
ThundurusIncarnate Forme,79,115,70,125,80,111
ThundurusTherian Forme,79,105,70,145,80,101
Helioptile,44,38,33,61,43,70
Heliolisk,62,55,52,109,94,109
Dedenne,67,58,57,81,67,101
