cosmetics,gender,sales
Nail polish,Males,0
Nail polish,Females,12000
Eyebrow pencil,Males,0
Eyebrow pencil,Females,10000
Rouge,Males,6000
Rouge,Females,8000
Lipstick,Males,0
Lipstick,Females,9000
Eyeshadows,Males,0
Eyeshadows,Females,8000
Eyeliner,Males,0
Eyeliner,Females,7000
Foundation,Males,0
Foundation,Females,6000
Lip gloss,Males,0
Lip gloss,Females,5000
Mascara,Males,0
Mascara,Females,7000
Shampoo,Males,8000
Shampoo,Females,6000
Hair conditioner,Males,12000
Hair conditioner,Females,8000
Body lotion,Males,4000
Body lotion,Females,6000
Shower gel,Males,8000
Shower gel,Females,6000
Soap,Males,6000
Soap,Females,4000
Eye fresher,Males,0
Eye fresher,Females,4000
Deodorant,Males,10000
Deodorant,Females,6000
Hand cream,Males,4000
Hand cream,Females,6000
Foot cream,Males,2000
Foot cream,Females,4000
Night cream,Males,4000
Night cream,Females,6000
Day cream,Males,6000
Day cream,Females,8000
Vanilla cream,Males,2000
Vanilla cream,Females,10000
