Entity,Year,Total countries using each version of ICD code
ICD-10,1988,1
ICD-10,1989,1
ICD-10,1990,1
ICD-10,1991,1
ICD-10,1992,1
ICD-10,1993,1
ICD-10,1994,5
ICD-10,1995,14
ICD-10,1996,30
ICD-10,1997,46
ICD-10,1998,59
ICD-10,1999,75
ICD-10,2000,91
ICD-10,2001,104
ICD-10,2002,104
ICD-10,2003,104
ICD-10,2004,106
ICD-10,2005,107
ICD-10,2006,109
ICD-10,2007,110
ICD-10,2008,116
ICD-10,2009,122
ICD-10,2010,119
ICD-10,2011,117
ICD-10,2012,118
ICD-10,2013,116
ICD-10,2014,117
ICD-10,2015,113
ICD-10,2016,116
ICD-10,2017,115
ICD-10,2018,101
ICD-10,2019,97
ICD-10,2020,83
ICD-10,2021,62
ICD-10,2022,20
ICD-7,1950,15
ICD-7,1951,22
ICD-7,1952,25
ICD-7,1953,27
ICD-7,1954,31
ICD-7,1955,46
ICD-7,1956,49
ICD-7,1957,50
ICD-7,1958,52
ICD-7,1959,57
ICD-7,1960,57
ICD-7,1961,61
ICD-7,1962,60
ICD-7,1963,63
ICD-7,1964,64
ICD-7,1965,70
ICD-7,1966,69
ICD-7,1967,65
ICD-7,1968,28
ICD-7,1969,6
ICD-7,1970,6
ICD-7,1971,1
ICD-7,1972,1
ICD-8,1968,44
ICD-8,1969,67
ICD-8,1970,69
ICD-8,1971,73
ICD-8,1972,71
ICD-8,1973,72
ICD-8,1974,76
ICD-8,1975,79
ICD-8,1976,74
ICD-8,1977,83
ICD-8,1978,81
ICD-8,1979,27
ICD-8,1980,9
ICD-8,1981,8
ICD-8,1982,7
ICD-8,1983,7
ICD-8,1984,7
ICD-8,1985,6
ICD-8,1986,4
ICD-8,1987,4
ICD-8,1988,3
ICD-8,1989,3
ICD-8,1990,3
ICD-8,1991,3
ICD-8,1992,3
ICD-8,1993,3
ICD-8,1994,2
ICD-8,1995,1
ICD-8,1996,1
ICD-8,1997,1
ICD-8,1998,1
ICD-8,1999,1
ICD-8,2000,1
ICD-8,2001,1
ICD-8,2002,1
ICD-8,2003,1
ICD-8,2004,1
ICD-8,2005,1
ICD-8,2006,1
ICD-8,2007,1
ICD-8,2008,1
ICD-9,1979,47
ICD-9,1980,70
ICD-9,1981,87
ICD-9,1982,80
ICD-9,1983,70
ICD-9,1984,72
ICD-9,1985,90
ICD-9,1986,91
ICD-9,1987,101
ICD-9,1988,94
ICD-9,1989,94
ICD-9,1990,98
ICD-9,1991,92
ICD-9,1992,91
ICD-9,1993,90
ICD-9,1994,93
ICD-9,1995,87
ICD-9,1996,68
ICD-9,1997,56
ICD-9,1998,45
ICD-9,1999,34
ICD-9,2000,25
ICD-9,2001,18
ICD-9,2002,16
ICD-9,2003,13
ICD-9,2004,11
ICD-9,2005,7
ICD-9,2006,4
ICD-9,2007,3
ICD-9,2008,3
ICD-9,2009,3
ICD-9,2010,3
ICD-9,2011,2
ICD-9,2012,1
ICD-9,2013,1
