Entity,Year,Attribute,Value
Appetite change,2014,Nearly every day,4.6
Appetite change,2014,More than half the days,5.1
Appetite change,2014,Several days,15.5
Appetite change,2014,Not at all,74.8
Depressed mood,2014,Nearly every day,3.6
Depressed mood,2014,More than half the days,3.9
Depressed mood,2014,Several days,16.8
Depressed mood,2014,Not at all,75.7
Difficulty concentrating,2014,Nearly every day,3.5
Difficulty concentrating,2014,More than half the days,3.6
Difficulty concentrating,2014,Several days,10.9
Difficulty concentrating,2014,Not at all,82.1
Loss of interest,2014,Nearly every day,4.4
Loss of interest,2014,More than half the days,5.4
Loss of interest,2014,Several days,16.3
Loss of interest,2014,Not at all,73.8
Low energy,2014,Nearly every day,9
Low energy,2014,More than half the days,7.8
Low energy,2014,Several days,34
Low energy,2014,Not at all,49.1
Low self-esteem,2014,Nearly every day,3
Low self-esteem,2014,More than half the days,2.9
Low self-esteem,2014,Several days,11.5
Low self-esteem,2014,Not at all,82.6
Psychomotor agitation,2014,Nearly every day,1.9
Psychomotor agitation,2014,More than half the days,2.5
Psychomotor agitation,2014,Several days,6.8
Psychomotor agitation,2014,Not at all,88.8
Sleep problems,2014,Nearly every day,9.2
Sleep problems,2014,More than half the days,6.5
Sleep problems,2014,Several days,20.9
Sleep problems,2014,Not at all,63.3
Suicidal ideation,2014,Nearly every day,0.6
Suicidal ideation,2014,More than half the days,0.6
Suicidal ideation,2014,Several days,2.3
Suicidal ideation,2014,Not at all,96.6
