Attr1,Attr2,Value
AM,hot dogs,74
AM,burgers,4
AM,sandwich,115
AM,kebab,156
AM,fries,133
AM,donut,124
AL,hot dogs,32
AL,burgers,129
AL,sandwich,124
AL,kebab,110
AL,fries,88
AL,donut,52
AI,hot dogs,194
AI,burgers,38
AI,sandwich,35
AI,kebab,19
AI,fries,95
AI,donut,122
AG,hot dogs,191
AG,burgers,95
AG,sandwich,4
AG,kebab,129
AG,fries,76
AG,donut,187
AF,hot dogs,174
AF,burgers,156
AF,sandwich,9
AF,kebab,107
AF,fries,150
AF,donut,64
AE,hot dogs,104
AE,burgers,179
AE,sandwich,172
AE,kebab,97
AE,fries,133
AE,donut,48
AD,hot dogs,45
AD,burgers,18
AD,sandwich,153
AD,kebab,97
AD,fries,184
AD,donut,40
