month_date,weather,__count
"Sat, 01 Dec 2012 05:00:00 GMT","""drizzle""",3
"Sun, 01 Jan 2012 05:00:00 GMT","""rain""",65
"Sun, 01 Jan 2012 05:00:00 GMT","""sun""",25
"Sun, 01 Jan 2012 05:00:00 GMT","""snow""",8
"Sun, 01 Jan 2012 05:00:00 GMT","""drizzle""",9
"Wed, 01 Feb 2012 05:00:00 GMT","""sun""",29
"Wed, 01 Feb 2012 05:00:00 GMT","""rain""",73
"Wed, 01 Feb 2012 05:00:00 GMT","""drizzle""",4
"Wed, 01 Feb 2012 05:00:00 GMT","""snow""",4
"Thu, 01 Mar 2012 05:00:00 GMT","""rain""",73
"Thu, 01 Mar 2012 05:00:00 GMT","""sun""",36
"Thu, 01 Mar 2012 05:00:00 GMT","""snow""",6
"Thu, 01 Mar 2012 05:00:00 GMT","""drizzle""",3
"Sun, 01 Apr 2012 04:00:00 GMT","""sun""",53
"Sun, 01 Apr 2012 04:00:00 GMT","""rain""",60
"Sun, 01 Apr 2012 04:00:00 GMT","""snow""",1
"Sun, 01 Apr 2012 04:00:00 GMT","""drizzle""",3
"Tue, 01 May 2012 04:00:00 GMT","""rain""",41
"Tue, 01 May 2012 04:00:00 GMT","""sun""",77
"Tue, 01 May 2012 04:00:00 GMT","""drizzle""",1
"Fri, 01 Jun 2012 04:00:00 GMT","""rain""",41
"Fri, 01 Jun 2012 04:00:00 GMT","""sun""",76
"Fri, 01 Jun 2012 04:00:00 GMT","""drizzle""",2
"Sun, 01 Jul 2012 04:00:00 GMT","""rain""",15
"Sun, 01 Jul 2012 04:00:00 GMT","""sun""",90
"Sun, 01 Jul 2012 04:00:00 GMT","""drizzle""",9
"Sun, 01 Jul 2012 04:00:00 GMT","""fog""",10
"Wed, 01 Aug 2012 04:00:00 GMT","""sun""",86
"Wed, 01 Aug 2012 04:00:00 GMT","""rain""",25
"Wed, 01 Aug 2012 04:00:00 GMT","""drizzle""",7
"Sat, 01 Sep 2012 04:00:00 GMT","""sun""",64
"Sat, 01 Sep 2012 04:00:00 GMT","""rain""",36
"Sat, 01 Sep 2012 04:00:00 GMT","""fog""",15
"Sat, 01 Sep 2012 04:00:00 GMT","""drizzle""",5
"Mon, 01 Oct 2012 04:00:00 GMT","""sun""",37
"Mon, 01 Oct 2012 04:00:00 GMT","""drizzle""",4
"Mon, 01 Oct 2012 04:00:00 GMT","""rain""",64
"Thu, 01 Nov 2012 04:00:00 GMT","""rain""",75
"Thu, 01 Nov 2012 04:00:00 GMT","""sun""",33
"Thu, 01 Nov 2012 04:00:00 GMT","""drizzle""",3
"Thu, 01 Nov 2012 04:00:00 GMT","""fog""",8
"Sat, 01 Dec 2012 05:00:00 GMT","""rain""",73
"Sat, 01 Dec 2012 05:00:00 GMT","""sun""",34
"Sat, 01 Dec 2012 05:00:00 GMT","""snow""",6
"Thu, 01 Mar 2012 05:00:00 GMT","""fog""",6
"Sun, 01 Apr 2012 04:00:00 GMT","""fog""",3
"Tue, 01 May 2012 04:00:00 GMT","""fog""",5
"Wed, 01 Aug 2012 04:00:00 GMT","""fog""",6
"Mon, 01 Oct 2012 04:00:00 GMT","""fog""",19
"Sun, 01 Jan 2012 05:00:00 GMT","""fog""",17
