variety,site,sum_yield
"""Manchuria""","""University Farm""",53.9
"""Manchuria""","""Waseca""",82.33334
"""Manchuria""","""Morris""",61.8
"""Manchuria""","""Crookston""",72.9
"""Manchuria""","""Grand Rapids""",55.1
"""Manchuria""","""Duluth""",51.53334
"""Glabron""","""University Farm""",79.86666
"""Glabron""","""Waseca""",92.93333
"""Glabron""","""Morris""",63.9
"""Glabron""","""Crookston""",64.3
"""Glabron""","""Grand Rapids""",43.56666
"""Glabron""","""Duluth""",55.53334
"""Svansota""","""University Farm""",62.56667
"""Svansota""","""Waseca""",85.83333
"""Svansota""","""Morris""",60.8
"""Svansota""","""Crookston""",61.1
"""Svansota""","""Grand Rapids""",46.3
"""Svansota""","""Duluth""",47.93333
"""Velvet""","""University Farm""",66.7
"""Velvet""","""Waseca""",87.63333
"""Velvet""","""Morris""",64.96666
"""Velvet""","""Crookston""",73.39999
"""Velvet""","""Grand Rapids""",55.26666
"""Velvet""","""Duluth""",48.76667
"""Trebi""","""University Farm""",65.63333
"""Trebi""","""Waseca""",113.0666
"""Trebi""","""Morris""",90.4
"""Trebi""","""Crookston""",88.76666
"""Trebi""","""Grand Rapids""",50.4
"""Trebi""","""Duluth""",64.53333
"""No. 457""","""University Farm""",69.70001
"""No. 457""","""Waseca""",100.3
"""No. 457""","""Morris""",72.23334
"""No. 457""","""Crookston""",80
"""No. 457""","""Grand Rapids""",51.63334
"""No. 457""","""Duluth""",56.3
"""No. 462""","""University Farm""",62.16667
"""No. 462""","""Waseca""",110.4667
"""No. 462""","""Morris""",77.36667
"""No. 462""","""Crookston""",79.09999
"""No. 462""","""Grand Rapids""",44.83334
"""No. 462""","""Duluth""",50.6
"""Peatland""","""University Farm""",60.83334
"""Peatland""","""Waseca""",84.59999
"""Peatland""","""Morris""",73.06667
"""Peatland""","""Crookston""",66.83333
"""Peatland""","""Grand Rapids""",61.46667
"""Peatland""","""Duluth""",63.36667
"""No. 475""","""University Farm""",54.66667
"""No. 475""","""Waseca""",88.03334
