age,gender,sum_people
0,"""Male""",9735380
0,"""Female""",9310714
5,"""Male""",10552146
5,"""Female""",10069564
10,"""Male""",10563233
10,"""Female""",10022524
15,"""Male""",10237419
15,"""Female""",9692669
20,"""Male""",9731315
20,"""Female""",9324244
25,"""Male""",9659493
25,"""Female""",9518507
30,"""Male""",10205879
30,"""Female""",10119296
35,"""Male""",11475182
35,"""Female""",11635647
40,"""Male""",11320252
40,"""Female""",11488578
45,"""Male""",9925006
45,"""Female""",10261253
50,"""Male""",8507934
50,"""Female""",8911133
55,"""Male""",6459082
55,"""Female""",6921268
60,"""Male""",5123399
60,"""Female""",5668961
65,"""Male""",4453623
65,"""Female""",4804784
70,"""Male""",3792145
70,"""Female""",5184855
75,"""Male""",2912655
75,"""Female""",4355644
80,"""Male""",1902638
80,"""Female""",3221898
85,"""Male""",970357
85,"""Female""",1981156
90,"""Male""",336303
90,"""Female""",1064581
