Country_Code,Medal_Type,Count
USA,Gold,46
USA,Silver,29
USA,Bronze,29
CHN,Gold,38
CHN,Silver,27
CHN,Bronze,23
RUS,Gold,24
RUS,Silver,26
RUS,Bronze,32
GBR,Gold,29
GBR,Silver,17
GBR,Bronze,19
DEU,Gold,11
DEU,Silver,19
DEU,Bronze,14
JPN,Gold,7
JPN,Silver,14
JPN,Bronze,17
FRA,Gold,11
FRA,Silver,11
FRA,Bronze,12
ITA,Gold,8
ITA,Silver,9
ITA,Bronze,11
BRA,Gold,3
BRA,Silver,5
BRA,Bronze,9
IND,Gold,0
IND,Silver,2
IND,Bronze,4
JAM,Gold,4
JAM,Silver,4
JAM,Bronze,4
GEO,Gold,1
GEO,Silver,3
GEO,Bronze,3
PRK,Gold,4
PRK,Silver,0
PRK,Bronze,2
ARM,Gold,0
ARM,Silver,1
ARM,Bronze,2
MNG,Gold,0
MNG,Silver,2
MNG,Bronze,3
BHS,Gold,1
BHS,Silver,0
BHS,Bronze,0
MDA,Gold,0
MDA,Silver,0
MDA,Bronze,2
TJK,Gold,0
TJK,Silver,0
TJK,Bronze,1
MNE,Gold,0
MNE,Silver,1
MNE,Bronze,0
GRD,Gold,1
GRD,Silver,0
GRD,Bronze,0
