Entity,Code,Year,Human Development Index,GDP per capita,Population,World region according to OWID
Afghanistan,AFG,1990,0.285,,12045664,Asia
Afghanistan,AFG,1991,0.291,,12238879,Asia
Afghanistan,AFG,1992,0.301,,13278983,Asia
Afghanistan,AFG,1993,0.311,,14943175,Asia
Afghanistan,AFG,1994,0.305,,16250800,Asia
Afghanistan,AFG,1995,0.329,,17065837,Asia
Afghanistan,AFG,1996,0.334,,17763266,Asia
Afghanistan,AFG,1997,0.338,,18452100,Asia
Afghanistan,AFG,1998,0.338,,19159996,Asia
Afghanistan,AFG,1999,0.347,,19887792,Asia
Afghanistan,AFG,2000,0.351,1617.8264,20130334,Asia
Afghanistan,AFG,2001,0.355,1454.1108,20284303,Asia
Afghanistan,AFG,2002,0.383,1774.3087,21378123,Asia
Afghanistan,AFG,2003,0.392,1815.9282,22733053,Asia
Afghanistan,AFG,2004,0.408,1776.9182,23560656,Asia
Afghanistan,AFG,2005,0.417,1908.1147,24404575,Asia
Afghanistan,AFG,2006,0.426,1929.7239,25424100,Asia
Afghanistan,AFG,2007,0.442,2155.353,25909852,Asia
Afghanistan,AFG,2008,0.446,2191.5044,26482631,Asia
Afghanistan,AFG,2009,0.458,2565.022,27466102,Asia
Afghanistan,AFG,2010,0.465,2848.5862,28284088,Asia
Afghanistan,AFG,2011,0.474,2757.0525,29347708,Asia
Afghanistan,AFG,2012,0.484,2985.319,30560036,Asia
Afghanistan,AFG,2013,0.492,3046.5798,31622709,Asia
Afghanistan,AFG,2014,0.497,3017.9426,32792528,Asia
Afghanistan,AFG,2015,0.496,2967.6921,33831767,Asia
Afghanistan,AFG,2016,0.495,2958.7854,34700613,Asia
Afghanistan,AFG,2017,0.496,2952.999,35688941,Asia
Afghanistan,AFG,2018,0.498,2902.392,36743040,Asia
Afghanistan,AFG,2019,0.507,2927.245,37856125,Asia
Afghanistan,AFG,2020,0.501,2769.6858,39068977,Asia
Afghanistan,AFG,2021,0.486,2144.1665,40000410,Asia
Afghanistan,AFG,2022,0.495,1981.7102,40578847,Asia
Afghanistan,AFG,2023,0.496,1983.8126,41454762,Asia
Africa,OWID_AFR,2000,0.4245854,,830226481,
Africa,OWID_AFR,2001,0.4292593,,851317075,
Africa,OWID_AFR,2002,0.43494922,,873025213,
Africa,OWID_AFR,2003,0.44065332,,895336412,
Africa,OWID_AFR,2004,0.44817433,,918363272,
Africa,OWID_AFR,2005,0.461668,,942115143,
Africa,OWID_AFR,2006,0.46813595,,966491337,
Africa,OWID_AFR,2007,0.4750963,,991615906,
Africa,OWID_AFR,2008,0.49759457,,1017632831,
Africa,OWID_AFR,2009,0.5021216,,1044356804,
Africa,OWID_AFR,2010,0.513888,,1071809929,
Africa,OWID_AFR,2011,0.52003187,,1099732995,
Africa,OWID_AFR,2012,0.5260907,,1128396676,
Africa,OWID_AFR,2013,0.53123987,,1158293959,
Africa,OWID_AFR,2014,0.5367227,,1188685762,
Africa,OWID_AFR,2015,0.5425902,,1219484027,
Africa,OWID_AFR,2016,0.5466387,,1250551239,
Africa,OWID_AFR,2017,0.5504002,,1282169538,
Africa,OWID_AFR,2018,0.5558327,,1314609397,
Africa,OWID_AFR,2019,0.56035364,,1347162538,
Africa,OWID_AFR,2020,0.5594648,,1379939686,
Africa,OWID_AFR,2021,0.56110394,,1412811077,
Africa,OWID_AFR,2022,0.5714846,,1445862695,
Africa,OWID_AFR,2023,0.5760591,,1479690254,
Albania,ALB,1990,0.654,5560.857,3277965,Europe
Albania,ALB,1991,0.638,4027.9055,3282608,Europe
Albania,ALB,1992,0.622,3761.1555,3282506,Europe
Albania,ALB,1993,0.624,4145.92,3277831,Europe
Albania,ALB,1994,0.629,4517.799,3269417,Europe
Albania,ALB,1995,0.638,5151.3975,3258573,Europe
Albania,ALB,1996,0.647,5563.793,3245680,Europe
Albania,ALB,1997,0.645,4943.004,3229665,Europe
Albania,ALB,1998,0.659,5387.5684,3210134,Europe
Albania,ALB,1999,0.671,6086.009,3188598,Europe
Albania,ALB,2000,0.682,6582.0166,3166147,Europe
Albania,ALB,2001,0.691,7232.9907,3147943,Europe
Albania,ALB,2002,0.697,7590.49,3134095,Europe
Albania,ALB,2003,0.705,8025.2812,3118093,Europe
Albania,ALB,2004,0.71,8483.294,3098662,Europe
Albania,ALB,2005,0.723,8964.318,3076156,Europe
Albania,ALB,2006,0.732,9564.029,3050805,Europe
Albania,ALB,2007,0.742,10262.967,3022887,Europe
Albania,ALB,2008,0.749,11056.352,2992933,Europe
Albania,ALB,2009,0.756,11430.622,2961487,Europe
Albania,ALB,2010,0.769,11829.054,2928731,Europe
Albania,ALB,2011,0.781,12153.114,2911499,Europe
Albania,ALB,2012,0.79,12463.57,2910003,Europe
Albania,ALB,2013,0.793,12873.483,2907571,Europe
Albania,ALB,2014,0.797,13366.56,2903748,Europe
Albania,ALB,2015,0.797,13876.819,2898634,Europe
Albania,ALB,2016,0.797,14643.489,2897868,Europe
Albania,ALB,2017,0.798,15359.461,2898245,Europe
Albania,ALB,2018,0.801,16170.99,2894229,Europe
Albania,ALB,2019,0.805,16761.193,2885011,Europe
Albania,ALB,2020,0.794,16457.787,2871950,Europe
Albania,ALB,2021,0.794,18212.871,2849641,Europe
Albania,ALB,2022,0.806,19388.873,2827614,Europe
Albania,ALB,2023,0.81,20481.035,2811660,Europe
Albania,ALB,2024,,21641.074,2811660,Europe
Algeria,DZA,1990,0.595,11728.546,25375815,Africa
Algeria,DZA,1991,0.596,11314.864,25987937,Africa
Algeria,DZA,1992,0.601,11241.415,26628570,Africa
Algeria,DZA,1993,0.603,10743.706,27277042,Africa
Algeria,DZA,1994,0.603,10414.035,27887277,Africa
Algeria,DZA,1995,0.608,10588.443,28470194,Africa
Algeria,DZA,1996,0.615,10808.879,29033045,Africa
Algeria,DZA,1997,0.624,10725.968,29579299,Africa
Algeria,DZA,1998,0.634,11094.888,30054135,Africa
Algeria,DZA,1999,0.643,11292.037,30474360,Africa
Algeria,DZA,2000,0.651,11558.221,30903894,Africa
Algeria,DZA,2001,0.659,11742.595,31331226,Africa
Algeria,DZA,2002,0.669,12213.126,31750832,Africa
Algeria,DZA,2003,0.677,12835.182,32175813,Africa
Algeria,DZA,2004,0.685,13226.765,32628286,Africa
Algeria,DZA,2005,0.692,13738.496,33109258,Africa
