x,Category,size
1,Bubble1,36
118,Bubble4,50
134,Bubble2,51
148,Bubble3,54
163,Bubble4,27
167,Bubble4,51
176,Bubble1,10
183,Bubble2,28
186,Bubble1,19
193,Bubble1,15
198,Bubble1,29
200,Bubble2,43
214,Bubble3,60
225,Bubble3,18
231,Bubble2,27
236,Bubble3,41
242,Bubble3,27
253,Bubble3,22
259,Bubble1,29
264,Bubble1,42
286,Bubble4,53
293,Bubble3,30
294,Bubble3,13
300,Bubble2,32
301,Bubble3,16
311,Bubble4,58
322,Bubble2,24
335,Bubble2,38
336,Bubble2,57
339,Bubble4,42
341,Bubble1,26
345,Bubble4,47
349,Bubble1,34
350,Bubble2,32
351,Bubble2,59
367,Bubble3,28
370,Bubble4,33
381,Bubble2,36
40,Bubble1,36
402,Bubble4,12
405,Bubble1,16
408,Bubble4,18
419,Bubble2,52
429,Bubble1,49
455,Bubble4,27
473,Bubble4,44
479,Bubble2,29
48,Bubble2,34
488,Bubble4,35
49,Bubble1,60
497,Bubble3,36
506,Bubble3,55
511,Bubble4,60
527,Bubble1,19
545,Bubble3,40
547,Bubble3,30
550,Bubble4,23
565,Bubble4,17
596,Bubble2,54
602,Bubble4,20
617,Bubble3,37
634,Bubble1,47
653,Bubble3,56
67,Bubble1,60
676,Bubble1,33
686,Bubble4,38
702,Bubble2,10
732,Bubble1,36
738,Bubble2,27
739,Bubble3,27
74,Bubble2,11
746,Bubble1,56
747,Bubble2,19
78,Bubble1,51
8,Bubble2,45
96,Bubble3,28
98,Bubble4,28
