Horsepower,Miles_per_Gallon,Acceleration
130,18,12
165,15,11.5
150,18,11
150,16,12
140,17,10.5
198,15,10
220,14,9
215,14,8.5
225,14,10
190,15,8.5
170,15,10
160,14,8
150,15,9.5
225,14,10
95,24,15
95,22,15.5
97,18,15.5
85,21,16
88,27,14.5
46,26,20.5
87,25,17.5
90,24,14.5
95,25,17.5
113,26,12.5
90,21,15
215,10,14
200,10,15
210,11,13.5
193,9,18.5
88,27,14.5
90,28,15.5
95,25,14
,25,19
100,19,13
105,16,15.5
100,17,15.5
88,19,15.5
100,18,15.5
165,14,12
175,14,11.5
153,14,13.5
150,14,13
180,12,11.5
170,13,12
175,13,12
110,18,13.5
72,22,19
100,19,15
88,18,14.5
86,23,14
90,28,14
70,30,19.5
76,30,14.5
65,31,19
69,35,18
60,27,19
70,26,20.5
95,24,15.5
80,25,17
54,23,23.5
90,20,19.5
86,21,16.5
165,13,12
175,14,12
150,15,13.5
153,14,13
150,17,11.5
208,11,11
155,13,13.5
160,12,13.5
190,13,12.5
97,19,13.5
150,15,12.5
130,13,14
140,13,16
150,14,14
112,18,14.5
76,22,18
87,21,19.5
69,26,18
86,22,16
92,28,17
97,23,14.5
80,28,15
88,27,16.5
175,13,13
150,14,11.5
145,13,13
137,14,14.5
150,15,12.5
198,12,11.5
150,13,12
158,13,13
150,14,14.5
215,13,11
225,12,11
175,13,11
105,18,16.5
100,16,18
100,18,16
88,18,16.5
95,23,16
46,26,21
150,11,14
167,12,12.5
170,13,13
180,12,12.5
100,18,15
88,20,19
72,21,19.5
94,22,16.5
90,18,13.5
85,19,18.5
107,21,14
90,26,15.5
145,15,13
230,16,9.5
49,29,19.5
75,24,15.5
91,20,14
112,19,15.5
150,15,11
110,24,14
122,20,13.5
180,11,11
95,20,16.5
,21,17
100,19,16
100,15,17
67,31,19
80,26,16.5
65,32,21
75,25,17
100,16,17
110,16,18
105,18,16.5
140,16,14
150,13,14.5
150,14,13.5
140,14,16
150,14,15.5
83,29,16.5
67,26,15.5
78,26,14.5
52,31,16.5
61,32,19
75,28,14.5
75,24,15.5
75,26,14
97,24,15
93,26,15.5
67,31,16
95,19,16
105,18,16
72,15,21
72,15,19.5
170,16,11.5
145,15,14
150,16,14.5
148,14,13.5
110,17,21
105,16,18.5
110,15,19
95,18,19
110,21,15
110,20,13.5
129,13,12
75,29,16
83,23,17
100,20,16
78,23,18.5
96,24,13.5
71,25,16.5
97,24,17
97,18,14.5
70,29,14
90,19,17
95,23,15
88,23,17
98,22,14.5
115,25,13.5
53,33,17.5
86,28,15.5
81,25,16.9
92,25,14.9
79,26,17.7
83,27,15.3
140,17.5,13
150,16,13
120,15.5,13.9
152,14.5,12.8
100,22,15.4
105,22,14.5
81,24,17.6
90,22.5,17.6
52,29,22.2
60,24.5,22.1
70,29,14.2
53,33,17.4
100,20,17.7
78,18,21
110,18.5,16.2
95,17.5,17.8
71,29.5,12.2
70,32,17
75,28,16.4
72,26.5,13.6
102,20,15.7
150,13,13.2
88,19,21.9
108,19,15.5
120,16.5,16.7
180,16.5,12.1
145,13,12
130,13,15
150,13,14
68,31.5,18.5
80,30,14.8
58,36,18.6
96,25.5,15.5
70,33.5,16.8
145,17.5,12.5
110,17,19
145,15.5,13.7
130,15,14.9
110,17.5,16.4
105,20.5,16.9
100,19,17.7
98,18.5,19
180,16,11.1
170,15.5,11.4
190,15.5,12.2
149,16,14.5
78,29,14.5
88,24.5,16
75,26,18.2
89,25.5,15.8
63,30.5,17
83,33.5,15.9
67,30,16.4
78,30.5,14.1
97,22,14.5
110,21.5,12.8
110,21.5,13.5
48,43.1,21.5
66,36.1,14.4
52,32.8,19.4
70,39.4,18.6
60,36.1,16.4
110,19.9,15.5
140,19.4,13.2
139,20.2,12.8
105,19.2,19.2
95,20.5,18.2
85,20.2,15.8
88,25.1,15.4
100,20.5,17.2
90,19.4,17.2
105,20.6,15.8
85,20.8,16.7
110,18.6,18.7
120,18.1,15.1
145,19.2,13.2
165,17.7,13.4
139,18.1,11.2
140,17.5,13.7
68,30,16.5
95,27.5,14.2
97,27.2,14.7
75,30.9,14.5
95,21.1,14.8
105,23.2,16.7
85,23.8,17.6
97,23.9,14.9
103,20.3,15.9
125,17,13.6
115,21.6,15.7
133,16.2,15.8
71,31.5,14.9
68,29.5,16.6
115,21.5,15.4
85,19.8,18.2
88,22.3,17.3
90,20.2,18.2
110,20.6,16.6
130,17,15.4
129,17.6,13.4
138,16.5,13.2
135,18.2,15.2
155,16.9,14.9
142,15.5,14.3
125,19.2,15
150,18.5,13
71,31.9,14
65,34.1,15.2
80,35.7,14.4
80,27.4,15
77,25.4,20.1
125,23,17.4
71,27.2,24.8
90,23.9,22.2
70,34.2,13.2
70,34.5,14.9
65,31.8,19.2
69,37.3,14.7
90,28.4,16
115,28.8,11.3
115,26.8,12.9
90,33.5,13.2
76,41.5,14.7
60,38.1,18.8
70,32.1,15.5
65,37.2,16.4
90,28,16.5
88,26.4,18.1
90,24.3,20.1
90,19.1,18.7
78,34.3,15.8
90,29.8,15.5
75,31.3,17.5
92,37,15
75,32.2,15.2
65,46.6,17.9
105,27.9,14.4
65,40.8,19.2
48,44.3,21.7
48,43.4,23.7
67,36.4,19.9
67,30,21.8
67,44.6,13.8
,40.9,17.3
67,33.8,18
62,29.8,15.3
132,32.7,11.4
100,23.7,12.5
88,35,15.1
,23.6,14.3
72,32.4,17
84,27.2,15.7
84,26.6,16.4
92,25.8,14.4
110,23.5,12.6
84,30,12.9
58,39.1,16.9
64,39,16.4
60,35.1,16.1
67,32.3,17.8
65,37,19.4
62,37.7,17.3
68,34.1,16
63,34.7,14.9
65,34.4,16.2
65,29.9,20.7
74,33,14.2
,34.5,15.8
75,33.7,14.4
75,32.4,16.8
100,32.9,14.8
74,31.6,18.3
80,28.1,20.4
76,30.7,19.6
116,25.4,12.6
120,24.2,13.8
110,22.4,15.8
105,26.6,19
88,20.2,17.1
85,17.6,16.6
88,28,19.6
88,27,18.6
88,34,18
85,31,16.2
84,29,16
90,27,18
92,24,16.4
,23,20.5
74,36,15.3
68,37,18.2
68,31,17.6
63,38,14.7
70,36,17.3
88,36,14.5
75,36,14.5
70,34,16.9
67,38,15
67,32,15.7
67,38,16.2
110,25,16.4
85,38,17
92,26,14.5
112,22,14.7
96,32,13.9
84,36,13
90,27,17.3
86,27,15.6
52,44,24.6
84,32,11.6
79,28,18.6
82,31,19.4
