population,income,health
32526562,1925,57.63
2896679,10620,76
39666519,13434,76.5
70473,46577,84.1
25021974,7615,61
91818,21049,75.2
43416755,17344,76.2
3017712,7763,74.4
23968973,44056,81.8
8544586,44401,81
9753968,16986,72.9
388019,22818,72.3
1377237,44138,79.2
160995642,3161,70.1
284215,12984,75.8
9495826,17415,70.4
11299192,41240,80.4
359287,8501,70
10879829,1830,65.5
774830,7983,70.2
10724705,6295,72.3
3810416,9833,77.9
2262485,17196,66.4
207847528,15441,75.6
423188,73003,78.7
7149787,16371,74.9
18105570,1654,62.8
11178921,777,60.4
15577899,3267,68.4
23344179,2897,59.5
35939927,43294,81.7
520502,6514,74.6
4900274,599,53.8
14037472,2191,57.7
17948141,22465,79.3
1376048943,13334,76.9
48228704,12761,75.8
788474,1472,64.1
77266814,809,58.3
4620330,6220,61.9
4807850,14132,80
22701556,3491,60.33
4240317,20260,78
11389562,21291,78.5
1165300,29797,82.6
10543186,29437,78.6
5669081,43495,80.1
887861,3139,64.63
72680,10503,74.6
10528391,12837,73.8
16144363,10996,75.2
91508084,11031,71.3
6126583,7776,74.1
845060,31087,60.63
5227791,1129,62.9
1312558,26812,76.8
99390750,1520,63.6
892145,7925,66.3
5503457,38923,80.8
64395345,37599,81.9
1725292,18627,60.53
1990924,1644,65.1
3999812,7474,73.3
80688545,44053,81.1
27409893,4099,65.5
10954617,25430,79.8
106825,11593,71.7
16342897,7279,73.1
12608590,1225,60.8
1844325,1386,53.4
767085,6816,64.4
10711067,1710,65.3
8075060,4270,72.4
9855023,24200,76.2
329425,42182,82.8
1311050527,5903,66.8
257563815,10504,70.9
79109272,15573,78.5
36423395,14646,72.1
4688465,47758,80.4
8064036,31590,82.4
59797685,33297,82.1
2793335,8606,75.5
126573481,36162,83.5
7594547,11752,78.3
17625226,23468,68.2
46050302,2898,66.63
112423,1824,62.4
3892115,82633,80.7
5939962,3245,69
6802023,5212,66.4
1970503,23282,75.7
5850743,17050,78.5
2135022,2598,48.5
4503438,958,63.9
6278438,17261,76.2
2878405,26665,75.4
567110,88314,81.1
2078453,12547,77
24235390,1400,64.7
17215232,799,60.22
30331007,24320,75.1
363657,14408,79.5
17599694,1684,57.6
418670,30265,82.1
52993,3661,65.1
4067564,3877,65.7
1273212,18350,73.9
127017224,16850,74.5
104460,3510,67
4068897,4896,72.7
2959134,11819,65.3
625781,14833,75.8
34377511,7319,74.7
27977863,1176,56.4
53897154,4012,67.9
2458830,10040,61
28513700,2352,71.2
16924929,45784,80.6
4528526,34186,80.6
6082032,4712,76.8
19899120,943,62.2
182201962,5727,61.33
25155317,1390,71.4
5210967,64304,81.6
4490541,48226,75.7
188924874,4743,66.5
3929141,20485,78.2
7619321,2529,60.6
6639123,8219,73.9
31376670,11903,77.5
100699395,6876,70.2
38611794,24787,77.3
10349803,26437,79.8
2235355,132877,82
19511324,19203,76.8
143456918,23038,73.13
11609666,1549,66.53
193228,5558,72.2
190344,3003,68.8
31540372,52469,78.1
15129273,2251,66.1
8850975,12908,78.1
96471,25684,73.7
6453184,2085,58.5
5603740,80794,82.1
5426258,27204,76.4
2067526,28550,80.2
583591,2047,64.1
10787104,624,58.7
54490406,12509,63.72
50293439,34644,80.7
12339812,3047,58
46121699,32979,81.7
20715010,10624,76.5
184999,9997,74.5
109462,10435,72.9
40234882,3975,69.5
542975,17125,70.5
1286970,6095,51.5
9779426,44892,82
8298663,56118,82.9
18502413,4637,70.26
8481855,2582,71
53470420,2571,63.43
67959359,14512,75.1
1184765,2086,72.4
7304578,1433,64.23
106170,5069,70.5
1360088,30113,71.4
11253554,11126,77.3
78665830,19360,76.5
5373502,15865,67.9
39032383,1680,60.8
44823765,8449,72.1
9156963,60749,76.6
64715810,38225,81.4
321773631,53354,79.1
3431555,20438,77.3
29893488,5598,70.1
264652,2912,65
31108083,15753,75.8
93447601,5623,76.5
4668466,4319,75.2
26832215,3887,67.6
16211767,4034,58.96
15602751,1801,60.01
