CO2,Decade,Scaled Date
315.7,1950s,8.083333333
317.46,1950s,8.166666667
317.51,1950s,8.25
315.86,1950s,8.416666667
314.93,1950s,8.5
313.21,1950s,8.583333333
313.33,1950s,8.75
314.67,1950s,8.833333333
315.58,1950s,8.916666667
316.49,1950s,9
316.65,1950s,9.083333333
317.72,1950s,9.166666667
318.29,1950s,9.25
318.15,1950s,9.333333333
316.54,1950s,9.416666667
314.8,1950s,9.5
313.84,1950s,9.583333333
313.33,1950s,9.666666667
314.81,1950s,9.75
315.58,1950s,9.833333333
316.43,1950s,9.916666667
316.98,1960s,0
317.58,1960s,0.083333333
319.03,1960s,0.166666667
320.04,1960s,0.25
319.58,1960s,0.333333333
318.18,1960s,0.416666667
315.9,1960s,0.5
314.17,1960s,0.583333333
313.83,1960s,0.666666667
315,1960s,0.75
316.19,1960s,0.833333333
316.9,1960s,0.916666667
317.7,1960s,1
318.54,1960s,1.083333333
319.48,1960s,1.166666667
320.58,1960s,1.25
319.77,1960s,1.333333333
318.57,1960s,1.416666667
316.79,1960s,1.5
314.99,1960s,1.583333333
315.31,1960s,1.666666667
316.1,1960s,1.75
317.01,1960s,1.833333333
317.94,1960s,1.916666667
318.55,1960s,2
319.68,1960s,2.083333333
320.57,1960s,2.166666667
321.02,1960s,2.25
320.62,1960s,2.333333333
319.61,1960s,2.416666667
317.4,1960s,2.5
316.25,1960s,2.583333333
315.42,1960s,2.666666667
316.69,1960s,2.75
317.7,1960s,2.833333333
318.74,1960s,2.916666667
319.07,1960s,3
319.86,1960s,3.083333333
321.38,1960s,3.166666667
322.25,1960s,3.25
321.48,1960s,3.333333333
319.74,1960s,3.416666667
317.77,1960s,3.5
316.21,1960s,3.583333333
315.99,1960s,3.666666667
317.07,1960s,3.75
318.35,1960s,3.833333333
319.57,1960s,3.916666667
322.26,1960s,4.25
321.89,1960s,4.333333333
320.44,1960s,4.416666667
318.69,1960s,4.5
316.7,1960s,4.583333333
316.87,1960s,4.666666667
317.68,1960s,4.75
318.71,1960s,4.833333333
319.44,1960s,4.916666667
320.44,1960s,5
320.89,1960s,5.083333333
322.14,1960s,5.166666667
322.17,1960s,5.25
321.87,1960s,5.333333333
321.21,1960s,5.416666667
318.87,1960s,5.5
317.81,1960s,5.583333333
317.3,1960s,5.666666667
318.87,1960s,5.75
319.42,1960s,5.833333333
320.62,1960s,5.916666667
321.6,1960s,6
322.39,1960s,6.083333333
323.7,1960s,6.166666667
324.08,1960s,6.25
323.75,1960s,6.333333333
322.38,1960s,6.416666667
320.36,1960s,6.5
318.64,1960s,6.583333333
318.1,1960s,6.666666667
319.78,1960s,6.75
321.03,1960s,6.833333333
322.33,1960s,6.916666667
322.5,1960s,7
323.04,1960s,7.083333333
324.42,1960s,7.166666667
325,1960s,7.25
324.09,1960s,7.333333333
322.54,1960s,7.416666667
320.92,1960s,7.5
319.25,1960s,7.583333333
319.39,1960s,7.666666667
320.73,1960s,7.75
321.96,1960s,7.833333333
322.57,1960s,7.916666667
323.15,1960s,8
323.89,1960s,8.083333333
325.02,1960s,8.166666667
325.57,1960s,8.25
325.36,1960s,8.333333333
324.14,1960s,8.416666667
322.11,1960s,8.5
320.33,1960s,8.583333333
320.25,1960s,8.666666667
321.32,1960s,8.75
322.89,1960s,8.833333333
