Day Index,Attribute,Value
12/18/2017 0:00,Users,40585
12/18/2017 0:00,Sessions,48351
12/19/2017 0:00,Users,43039
12/19/2017 0:00,Sessions,51499
12/20/2017 0:00,Users,44926
12/20/2017 0:00,Sessions,53359
12/21/2017 0:00,Users,41256
12/21/2017 0:00,Sessions,49018
12/22/2017 0:00,Users,36844
12/22/2017 0:00,Sessions,43332
12/23/2017 0:00,Users,28955
12/23/2017 0:00,Sessions,33419
12/24/2017 0:00,Users,26113
12/24/2017 0:00,Sessions,30020
12/25/2017 0:00,Users,28433
12/25/2017 0:00,Sessions,33183
12/26/2017 0:00,Users,32687
12/26/2017 0:00,Sessions,38782
12/27/2017 0:00,Users,35689
12/27/2017 0:00,Sessions,42566
12/28/2017 0:00,Users,33656
12/28/2017 0:00,Sessions,39972
12/29/2017 0:00,Users,34559
12/29/2017 0:00,Sessions,40414
12/30/2017 0:00,Users,29197
12/30/2017 0:00,Sessions,33565
12/31/2017 0:00,Users,26495
12/31/2017 0:00,Sessions,30738
1/1/2018 0:00,Users,28291
1/1/2018 0:00,Sessions,32822
1/2/2018 0:00,Users,35472
1/2/2018 0:00,Sessions,42081
1/3/2018 0:00,Users,38363
1/3/2018 0:00,Sessions,45652
1/4/2018 0:00,Users,41645
1/4/2018 0:00,Sessions,49572
1/5/2018 0:00,Users,40268
1/5/2018 0:00,Sessions,47936
1/6/2018 0:00,Users,32846
1/6/2018 0:00,Sessions,37539
1/7/2018 0:00,Users,33560
1/7/2018 0:00,Sessions,38527
1/8/2018 0:00,Users,39327
1/8/2018 0:00,Sessions,46847
1/9/2018 0:00,Users,42947
1/9/2018 0:00,Sessions,51286
1/10/2018 0:00,Users,44179
1/10/2018 0:00,Sessions,53245
1/11/2018 0:00,Users,41938
1/11/2018 0:00,Sessions,50733
1/12/2018 0:00,Users,40964
1/12/2018 0:00,Sessions,49046
1/13/2018 0:00,Users,32176
1/13/2018 0:00,Sessions,37106
1/14/2018 0:00,Users,28915
1/14/2018 0:00,Sessions,33218
1/15/2018 0:00,Users,37077
1/15/2018 0:00,Sessions,44192
1/16/2018 0:00,Users,41477
1/16/2018 0:00,Sessions,49612
1/17/2018 0:00,Users,41840
1/17/2018 0:00,Sessions,50285
