date,Balloon records,Fixed wing aircraft records
15/08/1783,0.024,null
19/10/1783,0.081,null
19/10/1783,0.105,null
21/11/1783,1,null
01/12/1783,2.7,null
01/01/1784,3.962,null
18/07/1803,7.28,null
01/01/1839,7.9,null
05/09/1862,11.887,null
01/10/1890,11.887,0.0002
01/12/1903,11.887,0.003
01/10/1906,11.887,0.003
01/12/1906,11.887,0.004
01/12/1908,11.887,0.11
01/01/1909,11.887,0.92
01/07/1909,11.887,0.15
01/01/1910,11.887,1.269
01/06/1910,11.887,1.403
01/10/1910,11.887,2.582
01/12/1910,11.887,3.497
01/11/1912,11.887,5.61
01/11/1916,11.887,7.95
01/06/1919,11.887,9.52
01/02/1920,11.887,10.093
01/11/1921,11.887,10.518
01/10/1923,11.887,11.145
01/11/1923,11.887,10.74
01/10/1924,11.887,12.066
04/11/1927,13.222,12.066
01/06/1930,13.222,13.158
27/05/1931,15.787,13.158
01/01/1932,16.2,13.158
01/09/1932,16.2,13.404
01/09/1933,16.2,13.661
30/09/1933,18.501,13.661
20/11/1933,18.592,13.661
30/01/1934,21.946,13.661
01/04/1934,21.946,14.433
10/11/1935,22.066,14.433
01/08/1936,22.066,14.843
01/09/1936,22.066,15.23
01/06/1938,22.066,16.44
01/10/1938,22.066,17.33
01/03/1948,22.066,18.114
01/08/1951,22.066,24.23
01/08/1953,22.066,25.37
01/05/1954,22.066,27.57
01/09/1956,22.066,38.491
08/11/1956,23.165,38.491
02/06/1957,29.5,38.491
19/08/1957,31.212,38.491
16/08/1960,31.3,38.491
04/05/1961,34.668,38.491
01/07/1962,34.668,95.9
01/07/1963,34.668,105.9
01/08/1963,34.668,107.7
02/02/1966,37.7,107.7
01/10/2004,37.7,112.01
14/10/2012,38.969,null
24/10/2014,41.424,null
