title,variable,value
"Hey, Soul Sister",Energy,89
"Hey, Soul Sister",Danceability,67
"Hey, Soul Sister",Liveness,8
"Hey, Soul Sister",Valence,80
"Hey, Soul Sister",Acousticness,19
"Hey, Soul Sister",Speechiness,4
"Hey, Soul Sister",Popularity,84
A Thousand Yars,Energy,41
A Thousand Yars,Danceability,42
A Thousand Yars,Liveness,11
A Thousand Yars,Valence,16
A Thousand Yars,Acousticness,31
A Thousand Yars,Speechiness,3
A Thousand Yars,Popularity,81
Titanium (feat. Sia),Energy,79
Titanium (feat. Sia),Danceability,60
Titanium (feat. Sia),Liveness,13
Titanium (feat. Sia),Valence,30
Titanium (feat. Sia),Acousticness,7
Titanium (feat. Sia),Speechiness,10
Titanium (feat. Sia),Popularity,80
Underneath the Tree,Energy,81
Underneath the Tree,Danceability,51
Underneath the Tree,Liveness,21
Underneath the Tree,Valence,69
Underneath the Tree,Acousticness,0
Underneath the Tree,Speechiness,5
Underneath the Tree,Popularity,88
All of Me,Energy,26
All of Me,Danceability,42
All of Me,Liveness,13
All of Me,Valence,33
All of Me,Acousticness,92
All of Me,Speechiness,3
All of Me,Popularity,86
Thinking out Loud,Energy,45
Thinking out Loud,Danceability,78
Thinking out Loud,Liveness,18
Thinking out Loud,Valence,59
Thinking out Loud,Acousticness,47
Thinking out Loud,Speechiness,3
Thinking out Loud,Popularity,84
Cake By The Ocean,Energy,75
Cake By The Ocean,Danceability,77
Cake By The Ocean,Liveness,4
Cake By The Ocean,Valence,90
Cake By The Ocean,Acousticness,15
Cake By The Ocean,Speechiness,5
Cake By The Ocean,Popularity,81
Shape of You,Energy,65
Shape of You,Danceability,83
Shape of You,Liveness,9
Shape of You,Valence,93
Shape of You,Acousticness,58
Shape of You,Speechiness,8
Shape of You,Popularity,87
One Kiss (with Dua Lipa),Energy,86
One Kiss (with Dua Lipa),Danceability,79
One Kiss (with Dua Lipa),Liveness,8
One Kiss (with Dua Lipa),Valence,59
One Kiss (with Dua Lipa),Acousticness,4
One Kiss (with Dua Lipa),Speechiness,11
One Kiss (with Dua Lipa),Popularity,86
Memories,Energy,32
Memories,Danceability,76
Memories,Liveness,8
Memories,Valence,57
Memories,Acousticness,84
Memories,Speechiness,5
Memories,Popularity,99
