x,y,group
35,92,Group A
73,74,Group A
5,107,Group A
84,36,Group A
28,99,Group A
80,8,Group A
47,2,Group A
91,104,Group A
24,15,Group A
36,1,Group A
12,46,Group A
78,77,Group A
59,103,Group A
39,71,Group A
61,6,Group A
35,112,Group A
89,40,Group A
68,104,Group A
37,3,Group A
13,83,Group A
39,94,Group A
35,47,Group A
65,62,Group A
52,77,Group A
68,50,Group A
99,7,Group A
46,98,Group A
88,1,Group A
59,90,Group A
19,40,Group A
33,42,Group A
61,26,Group A
74,31,Group A
56,95,Group A
45,58,Group A
20,57,Group A
41,49,Group A
57,17,Group A
12,13,Group A
90,87,Group A
64,21,Group A
31,45,Group A
4,113,Group A
2,48,Group A
39,63,Group A
73,55,Group A
68,118,Group A
68,41,Group A
94,24,Group A
62,21,Group A
69,110,Group B
30,48,Group B
70,116,Group B
68,13,Group B
13,62,Group B
20,96,Group B
3,70,Group B
32,5,Group B
24,91,Group B
83,52,Group B
66,85,Group B
67,60,Group B
70,18,Group B
84,105,Group B
31,50,Group B
94,99,Group B
77,34,Group B
25,43,Group B
39,101,Group B
62,24,Group B
62,15,Group B
31,104,Group B
64,100,Group B
85,77,Group B
89,43,Group B
40,26,Group B
82,7,Group B
84,59,Group B
61,94,Group B
82,57,Group B
9,64,Group B
86,108,Group B
75,18,Group B
26,59,Group B
48,101,Group B
16,57,Group B
86,78,Group B
50,70,Group B
84,29,Group B
67,79,Group B
23,21,Group B
22,69,Group B
7,18,Group B
36,0,Group B
29,38,Group B
100,24,Group B
74,97,Group B
65,61,Group B
43,32,Group B
3,55,Group B
6,106,Group C
3,21,Group C
89,37,Group C
0,27,Group C
34,48,Group C
86,8,Group C
80,25,Group C
14,115,Group C
65,93,Group C
47,6,Group C
72,77,Group C
65,49,Group C
45,81,Group C
89,50,Group C
29,89,Group C
7,15,Group C
95,112,Group C
55,110,Group C
48,105,Group C
59,38,Group C
92,61,Group C
82,114,Group C
76,53,Group C
21,10,Group C
66,28,Group C
16,91,Group C
1,60,Group C
32,102,Group C
24,33,Group C
14,87,Group C
30,44,Group C
38,32,Group C
11,29,Group C
92,30,Group C
12,23,Group C
34,32,Group C
70,64,Group C
72,71,Group C
93,14,Group C
71,103,Group C
56,30,Group C
26,33,Group C
84,110,Group C
10,75,Group C
95,21,Group C
12,120,Group C
21,65,Group C
73,13,Group C
81,56,Group C
86,71,Group C
79,75,Group D
47,6,Group D
8,4,Group D
77,7,Group D
51,34,Group D
86,102,Group D
40,55,Group D
96,94,Group D
77,104,Group D
26,51,Group D
97,60,Group D
97,17,Group D
0,86,Group D
52,5,Group D
30,78,Group D
22,93,Group D
56,19,Group D
62,80,Group D
82,62,Group D
48,22,Group D
34,105,Group D
67,95,Group D
22,0,Group D
9,100,Group D
84,10,Group D
84,40,Group D
15,34,Group D
18,117,Group D
92,29,Group D
6,73,Group D
14,44,Group D
39,4,Group D
47,36,Group D
21,73,Group D
29,50,Group D
94,27,Group D
59,69,Group D
54,108,Group D
49,35,Group D
82,3,Group D
74,55,Group D
39,29,Group D
61,45,Group D
75,36,Group D
17,16,Group D
28,65,Group D
99,102,Group D
43,28,Group D
8,36,Group D
91,3,Group D
17,19,Group E
65,50,Group E
79,76,Group E
18,44,Group E
73,23,Group E
23,35,Group E
95,78,Group E
79,18,Group E
35,87,Group E
34,36,Group E
51,67,Group E
1,80,Group E
6,32,Group E
83,43,Group E
82,11,Group E
78,104,Group E
23,2,Group E
92,29,Group E
23,22,Group E
67,75,Group E
11,12,Group E
95,75,Group E
66,48,Group E
95,56,Group E
14,37,Group E
12,22,Group E
22,30,Group E
95,60,Group E
27,20,Group E
54,92,Group E
27,43,Group E
23,51,Group E
84,95,Group E
16,115,Group E
41,43,Group E
97,38,Group E
77,45,Group E
92,5,Group E
4,118,Group E
22,102,Group E
75,101,Group E
72,66,Group E
94,83,Group E
41,113,Group E
13,82,Group E
80,32,Group E
15,115,Group E
6,111,Group E
97,93,Group E
75,34,Group E
