Category,Week,Weight
girls low,0,2
girls low,1,2.1
girls low,2,2.3
girls low,3,2.5
girls low,4,2.7
girls low,5,2.9
girls low,6,3
girls low,7,3.2
girls low,8,3.3
girls low,9,3.5
girls low,10,3.6
girls low,11,3.8
girls low,12,3.9
girls low,13,4
girls med,0,3.2
girls med,1,3.3
girls med,2,3.6
girls med,3,3.8
girls med,4,4.1
girls med,5,4.3
girls med,6,4.6
girls med,7,4.8
girls med,8,5
girls med,9,5.2
girls med,10,5.4
girls med,11,5.5
girls med,12,5.7
girls med,13,5.8
girls high,0,4.8
girls high,1,5.1
girls high,2,5.4
girls high,3,5.7
girls high,4,6.1
girls high,5,6.5
girls high,6,6.8
girls high,7,7.1
girls high,8,7.3
girls high,9,7.6
girls high,10,7.8
girls high,11,8.1
girls high,12,8.3
girls high,13,8.5
boys low,0,2.5
boys low,1,2.6
boys low,2,2.8
boys low,3,3.1
boys low,4,3.3
boys low,5,3.5
boys low,6,3.8
boys low,7,4
boys low,8,4.2
boys low,9,4.4
boys low,10,4.5
boys low,11,4.7
boys low,12,4.9
boys low,13,5
boys med,0,3.3
boys med,1,3.5
boys med,2,3.8
boys med,3,4.1
boys med,4,4.4
boys med,5,4.7
boys med,6,4.9
boys med,7,5.2
boys med,8,5.4
boys med,9,5.6
boys med,10,5.8
boys med,11,6
boys med,12,6.2
boys med,13,6.4
boys high,0,5
boys high,1,5.3
boys high,2,5.6
boys high,3,6
boys high,4,6.4
boys high,5,6.8
boys high,6,7.2
boys high,7,7.5
boys high,8,7.8
boys high,9,8
boys high,10,8.3
boys high,11,8.5
boys high,12,8.8
boys high,13,9
