Mileage (mpg),Weight( lbs.)
13,3821
15,3850
17,3672
20.2,3265
18.1,3410
23,3035
19.4,3210
24.3,3003
18,2789
19,2634
20,2914
21,2648
18,2962
18,2774
18,2945
19,2901
22.5,3085
14,4257
15,3892
14,3672
15,3730
15.5,3962
16,3632
18,3288
17.5,3193
19,3211
-1,3850
16,3433
27.4,2670
20,2582
23,2694
24,2430
34.3,2188
20.3,2830
36.4,2950
29,2219
26,2234
21.5,2600
13,4100
25,2945
13,4699
20.6,3380
17,3907
22.4,3415
12,4951
14,3086
16.9,4360
13,4502
30,2155
17.7,3445
21,3039
15,3693
28.4,2670
20.5,3425
26.6,2635
23,3900
16.5,4380
16,3897
15,4440
27,2950
13,4464
17,3840
17.5,3880
34,2395
27,2640
28,2605
-1,4142
13,4098
16,3781
17.5,4215
17,3329
18,3504
29,2035
30,2155
30.5,2051
32.1,2120
23.5,2725
28,2678
28.8,2595
17.5,3520
11,4997
13,4274
14,4209
14,4354
19.2,3605
13,3988
20.5,3155
15.5,4165
19.2,3425
15,4082
15,3761
20,3221
16,3278
15,3336
18,3459
22,3353
22,2408
28,2264
20,2408
21,2401
25,2542
24.5,2164
13,4055
10,4376
31,2720
15.5,4325
26,2585
17.6,3465
18.5,3940
13,4735
13,4422
-1,3090
35,1613
23.9,2405
32.9,2615
31.8,2020
37,1975
40.8,2110
32.7,2910
38,1995
37.2,2019
28,2288
37,2434
27.2,2300
22,2379
24,2545
32,2003
24.2,2930
22,2815
32,1990
39.4,2070
31,1950
33.5,1945
27,2130
27,2130
29,2525
25.8,2620
20.6,3360
20,3651
18.6,3620
19.1,3381
15,3563
36,2370
28,2164
25,2126
35.7,1915
33.5,2075
26,2255
27.9,2800
28,2125
16,4190
14,4457
15,3777
13,3755
11,4382
15,3399
19.4,3735
17.5,4080
12,4955
15.5,4140
30.9,2230
32,2295
18.2,3830
26,2265
26,2246
30,2065
24,2108
29,1867
28,2464
37.3,2130
31,2000
25,2572
13,4746
15.5,4054
12,4906
29.9,2380
34.4,2045
13,3870
10,4615
20.2,2965
25.1,2720
22.3,2890
24,2865
26.4,2870
36.1,1800
18.1,3205
14,4129
14,4154
15,4341
13,4294
14,4638
14,4042
14.5,4215
16,4141
18,3574
20.2,3060
22,2835
18.5,3525
17.6,3725
13,4363
14,4657
15,3158
18,3021
21,2875
21,2587
24,3012
-1,3353
23.6,2905
27,2790
25.5,2755
13,3169
18,3139
22,2395
21,2226
18,2984
19,2310
23,2639
25,2046
26,2451
26.5,2565
28,2625
16,4335
-1,4034
19,3302
17,3449
9,4732
31.5,2045
29.5,2135
32.4,2290
36,2205
32,1965
35.1,1760
44.6,1850
33,1795
36.1,1800
24,2489
33,1795
38,1965
33.7,2210
34.1,1975
18,2124
31.3,2542
31.6,2635
34.1,1985
37,2025
31,1970
32.8,1985
46.6,2110
19,2330
21.5,2720
23.7,2420
30,3250
16.5,3820
25.4,3530
23,2220
21,2472
15,4295
16.5,3955
36,2125
12,4952
11,4633
20.2,3570
15,3432
19.8,2990
20.8,3070
36,2160
38,3015
26.6,3725
19.9,3365
23.9,3420
17,4060
12,4456
26.8,2700
11,3664
23.8,2855
12,4499
25,2220
28,2123
24,2158
26,2300
30,2074
21,2979
19,3270
23,2957
25,2672
27.2,3190
28.1,3230
16.2,3410
25.5,2300
14,3609
39,1875
26,1955
13,4654
20,3102
22,2833
23,2904
14,4237
14,4096
14,4312
15,4135
18,3785
16,4498
34.7,2215
38,2125
34.5,2150
34.2,2200
27.2,2490
30,2385
23.2,2745
-1,4166
14,4077
16,3439
18,3613
18,3436
19,3264
18,3121
22,3233
19,3630
13,3940
20.5,3430
23,2592
14,4464
14,4385
14,4425
16,4668
19,3282
16,4220
16,4278
31,2575
21.5,3245
19.2,3535
27,2735
33.5,2556
13,5140
24.5,2740
18.5,3645
26,2189
27,2202
34.5,2320
36,1825
40.9,1835
-1,2800
25,2375
21.6,2795
24,2660
25,2671
30,1985
33.8,2145
26,2391
32.3,2065
20,2279
21.1,2515
32,2665
31,1773
32,1836
27,2100
26,2265
38.1,1968
28,2155
29,2171
32.2,2265
32.4,2350
34,2245
24,2278
29.8,2711
24,2372
24,2702
25,2228
27.5,2560
31,1649
25.4,2900
19,2930
20,2807
39.1,1755
37.7,2050
23,2506
35,2500
29.8,1845
26,1835
22,2511
43.4,2335
25,2223
26,1963
30.5,2190
33,2190
27,1834
44,2130
44.3,2085
43.1,1985
29,1940
31.9,1925
36,1980
29,1937
29,1937
29.5,1825
41.5,2144
31.5,1990
-1,1978
26,1950
23,2254
19,2868
18,2933
22,2945
20,3150
17,3140
30.7,3160
