date,open,high
9/14/18,368,open
9/13/18,371,open
9/12/18,359,open
9/11/18,344,open
9/10/18,352,open
9/7/18,342,open
9/6/18,347,open
9/5/18,360,open
9/4/18,366,open
8/31/18,370,open
8/30/18,365,open
8/29/18,367,open
8/28/18,367,open
8/27/18,367,open
8/24/18,346,open
8/23/18,348,open
8/22/18,338,open
8/21/18,331,open
8/20/18,314,open
8/17/18,319,open
8/16/18,329,open
8/15/18,334,open
8/14/18,342,open
8/13/18,339,open
8/10/18,346,open
8/9/18,347,open
8/8/18,352,open
8/7/18,353,open
8/6/18,342,open
8/3/18,347,open
8/2/18,337,open
8/1/18,335,open
7/31/18,331,open
7/30/18,351,open
7/27/18,366,open
7/26/18,358,open
7/25/18,357,open
7/24/18,366,open
7/23/18,359,open
7/20/18,364,open
7/19/18,371,open
7/18/18,381,open
7/17/18,346,open
7/16/18,398,open
7/13/18,409,open
7/12/18,415,open
7/11/18,411,open
7/10/18,417,open
7/9/18,415,open
7/6/18,397,open
7/5/18,393,open
7/3/18,399,open
7/2/18,385,open
6/29/18,399,open
6/28/18,395,open
6/27/18,407,open
6/26/18,393,open
6/25/18,404,open
6/22/18,419,open
6/21/18,421,open
6/20/18,415,open
6/19/18,389,open
6/18/18,387,open
6/15/18,390,open
6/14/18,384,open
9/14/18,371,high
9/13/18,374,high
9/12/18,370,high
9/11/18,356,high
9/10/18,352,high
9/7/18,355,high
9/6/18,356,high
9/5/18,363,high
9/4/18,368,high
8/31/18,376,high
8/30/18,376,high
8/29/18,369,high
8/28/18,369,high
8/27/18,374,high
8/24/18,359,high
8/23/18,350,high
8/22/18,346,high
8/21/18,341,high
8/20/18,331,high
8/17/18,324,high
8/16/18,331,high
8/15/18,335,high
8/14/18,342,high
8/13/18,347,high
8/10/18,349,high
8/9/18,352,high
8/8/18,352,high
8/7/18,357,high
8/6/18,365,high
8/3/18,347,high
8/2/18,345,high
8/1/18,344,high
7/31/18,342,high
7/30/18,352,high
7/27/18,367,high
7/26/18,365,high
7/25/18,363,high
7/24/18,367,high
7/23/18,363,high
7/20/18,370,high
7/19/18,375,high
7/18/18,383,high
7/17/18,385,high
7/16/18,403,high
7/13/18,410,high
7/12/18,416,high
7/11/18,419,high
7/10/18,419,high
7/9/18,419,high
7/6/18,408,high
7/5/18,399,high
7/3/18,399,high
7/2/18,398,high
6/29/18,401,high
6/28/18,396,high
6/27/18,411,high
6/26/18,404,high
6/25/18,405,high
6/22/18,420,high
6/21/18,423,high
6/20/18,419,high
6/19/18,405,high
6/18/18,393,high
6/15/18,398,high
6/14/18,395,high
9/14/18,363,low
9/13/18,366,low
9/12/18,356,low
9/11/18,343,low
9/10/18,343,low
9/7/18,341,low
9/6/18,341,low
9/5/18,335,low
9/4/18,361,low
8/31/18,367,low
8/30/18,363,low
8/29/18,362,low
8/28/18,360,low
8/27/18,360,low
8/24/18,344,low
8/23/18,337,low
8/22/18,337,low
8/21/18,329,low
8/20/18,310,low
8/17/18,312,low
8/16/18,321,low
8/15/18,321,low
8/14/18,336,low
8/13/18,339,low
8/10/18,344,low
8/9/18,345,low
8/8/18,346,low
8/7/18,349,low
8/6/18,341,low
8/3/18,338,low
8/2/18,334,low
8/1/18,334,low
7/31/18,328,low
7/30/18,334,low
7/27/18,351,low
7/26/18,356,low
7/25/18,355,low
7/24/18,354,low
7/23/18,353,low
7/20/18,360,low
7/19/18,363,low
7/18/18,372,low
7/17/18,344,low
7/16/18,391,low
7/13/18,395,low
7/12/18,407,low
7/11/18,410,low
7/10/18,413,low
7/9/18,411,low
7/6/18,395,low
7/5/18,390,low
7/3/18,389,low
7/2/18,380,low
6/29/18,390,low
6/28/18,387,low
6/27/18,390,low
6/26/18,389,low
6/25/18,378,low
6/22/18,409,low
6/21/18,406,low
6/20/18,409,low
6/19/18,388,low
6/18/18,386,low
6/15/18,387,low
6/14/18,383,low
9/14/18,364.56,close
9/13/18,368.15,close
9/12/18,369.95,close
9/11/18,355.93,close
9/10/18,348.41,close
9/7/18,348.68,close
9/6/18,346.46,close
9/5/18,341.18,close
9/4/18,363.6,close
8/31/18,367.68,close
8/30/18,370.98,close
8/29/18,368.04,close
8/28/18,368.49,close
8/27/18,364.58,close
8/24/18,358.82,close
8/23/18,339.17,close
8/22/18,344.44,close
8/21/18,338.02,close
8/20/18,327.73,close
8/17/18,316.78,close
8/16/18,322.44,close
8/15/18,326.4,close
8/14/18,337.49,close
8/13/18,341.31,close
8/10/18,345.87,close
8/9/18,349.36,close
8/8/18,347.61,close
8/7/18,351.83,close
8/6/18,347,close
8/3/18,343.09,close
8/2/18,344.5,close
8/1/18,338.38,close
7/31/18,337.45,close
7/30/18,334.96,close
7/27/18,355.21,close
7/26/18,363.09,close
7/25/18,362.87,close
7/24/18,357.32,close
7/23/18,362.66,close
7/20/18,361.05,close
7/19/18,364.23,close
7/18/18,375.13,close
7/17/18,379.48,close
7/16/18,400.48,close
7/13/18,395.8,close
7/12/18,413.5,close
7/11/18,418.65,close
7/10/18,415.63,close
7/9/18,418.97,close
7/6/18,408.25,close
7/5/18,398.39,close
7/3/18,390.52,close
7/2/18,398.18,close
6/29/18,391.43,close
6/28/18,395.42,close
6/27/18,390.39,close
6/26/18,399.39,close
6/25/18,384.48,close
6/22/18,411.09,close
6/21/18,415.44,close
6/20/18,416.76,close
6/19/18,404.98,close
6/18/18,390.4,close
6/15/18,391.98,close
6/14/18,392.87,close
