Continent,GDP per capita,Life expectancy
Africa,2598,47.1
Africa,599,49.6
Africa,6095,51.8
Asia,1925,53.8
Africa,624,54.2
Africa,1386,55.6
Africa,3047,56.1
Africa,4034,56.7
Africa,1176,57.1
Africa,2085,57.1
Africa,2191,57.4
Africa,17196,58.7
Africa,1225,59.1
Africa,3491,59.1
Africa,1801,59.3
Africa,2897,59.4
Africa,7615,59.6
Africa,1684,60.2
Africa,799,60.5
Africa,809,60.8
Africa,1654,60.9
Australia,2529,60.9
Africa,943,61
Africa,31087,61
Africa,1680,61.3
Africa,12509,61.3
Africa,777,61.4
Africa,1433,61.5
Africa,6220,61.5
Africa,1830,62.3
Australia,1824,63
Africa,958,63.2
Africa,1400,63.5
Africa,3139,63.8
Australia,2047,64
Africa,2571,64.1
Africa,10040,64.2
North America,1710,64.3
Africa,5727,64.6
Australia,2912,64.9
Africa,2898,65.1
Africa,1520,65.2
Africa,2251,65.3
Africa,4099,65.3
Australia,7925,65.8
Africa,1549,65.9
Asia,4743,65.9
Africa,18627,65.9
Asia,3887,66
South America,6816,66.8
Australia,3661,66.9
Asia,5212,67.1
Asia,11819,67.1
Asia,5903,67.2
Asia,14646,67.4
Africa,3975,67.5
Africa,3003,68
Asia,4012,68
Africa,1472,68.1
Africa,1644,68.1
Asia,4637,68.2
Australia,3510,68.9
Asia,3267,69.4
Asia,2352,69.7
Africa,3877,69.7
Asia,3245,69.8
Asia,15865,70
Asia,23468,70.2
Asia,3161,70.4
Asia,6876,71
Europe,17415,71
Europe,23038,71
Asia,10504,71.1
North America,10435,71.2
Australia,5069,71.5
Europe,8449,71.5
Africa,11031,71.5
North America,11593,71.5
North America,8501,71.7
Asia,5598,71.8
South America,17125,72
Asia,1390,72.1
North America,27763,72.1
Australia,2086,72.4
Asia,2582,72.4
North America,30113,72.4
North America,7279,72.6
Asia,7983,72.7
Asia,7474,72.9
Asia,16986,72.9
North America,4270,73
North America,10503,73.1
Australia,5558,73.2
South America,6295,73.2
North America,22818,73.7
Europe,4896,73.9
Africa,17261,74.1
Africa,25684,74.1
South America,8219,74.4
South America,15441,74.4
Africa,18350,74.5
Asia,4319,74.6
Africa,7319,74.6
Asia,15573,74.6
Asia,7763,74.7
Asia,14512,74.7
North America,9997,74.8
South America,15753,74.8
Europe,16371,74.8
North America,7776,74.9
North America,8606,75
Europe,19203,75.2
Europe,26665,75.2
North America,12837,75.3
Asia,24320,75.3
Asia,5623,75.4
Europe,23282,75.4
Asia,60749,75.4
North America,12984,75.7
North America,37138,75.72
South America,10996,75.9
North America,16850,75.9
Europe,12908,76.2
Asia,13334,76.2
Africa,13434,76.4
North America,21049,76.4
Europe,12547,76.5
South America,17344,76.5
Europe,24200,76.7
South America,20438,76.8
Asia,73003,77.1
Europe,14833,77.2
Asia,48226,77.2
Asia,10624,77.6
Africa,11126,77.6
Europe,24787,77.6
Europe,27204,77.6
Europe,20260,77.8
Europe,26812,77.8
North America,4712,78
Europe,10620,78
South America,12761,78
North America,20485,78.2
North America,21291,78.2
Asia,11752,78.5
North America,33604,78.5
North America,47081,78.5
Europe,29437,78.8
Europe,9833,78.9
Asia,17050,78.9
Asia,44138,79.1
North America,53354,79.1
Asia,19360,79.2
South America,22465,79.4
South America,11903,79.5
Asia,42948,79.5
Asia,52469,79.5
Asia,132877,79.7
Asia,14408,80
North America,14132,80.3
Asia,82633,80.3
Europe,43495,80.4
Europe,41240,80.5
Europe,26437,80.8
Europe,44053,80.8
Asia,148374,80.82
Europe,28550,80.9
Europe,38923,80.9
Europe,25430,81
Asia,34644,81
Europe,38225,81
Europe,44401,81.3
Europe,45784,81.3
Australia,34186,81.4
North America,43294,81.7
Europe,47758,81.7
Europe,29797,81.8
Europe,37599,81.8
Europe,64304,82
Asia,80794,82
Europe,30265,82.1
Asia,31590,82.1
Europe,44892,82.1
Europe,33297,82.2
Europe,88314,82.2
Australia,44056,82.3
Europe,32979,82.6
Europe,56118,83
Asia,36162,83.2
Europe,42182,83.3
Asia,53874,83.73
Europe,46577,84.8
