category,Attribute,Value
2/10/2017,TEAM 1,10
2/10/2017,TEAM 2,37
2/10/2017,TEAM 3,29
2/10/2017,TEAM 4,11
2/10/2017,TEAM 5,49
2/11/2017,TEAM 1,36
2/11/2017,TEAM 2,53
2/11/2017,TEAM 3,23
2/11/2017,TEAM 4,16
2/11/2017,TEAM 5,23
2/12/2017,TEAM 1,47
2/12/2017,TEAM 2,47
2/12/2017,TEAM 3,27
2/12/2017,TEAM 4,42
2/12/2017,TEAM 5,43
2/13/2017,TEAM 1,23
2/13/2017,TEAM 2,13
2/13/2017,TEAM 3,42
2/13/2017,TEAM 4,29
2/13/2017,TEAM 5,56
2/14/2017,TEAM 1,29
2/14/2017,TEAM 2,37
2/14/2017,TEAM 3,28
2/14/2017,TEAM 4,22
2/14/2017,TEAM 5,33
2/15/2017,TEAM 1,20
2/15/2017,TEAM 2,16
2/15/2017,TEAM 3,12
2/15/2017,TEAM 4,35
2/15/2017,TEAM 5,32
2/16/2017,TEAM 1,59
2/16/2017,TEAM 2,53
2/16/2017,TEAM 3,36
2/16/2017,TEAM 4,36
2/16/2017,TEAM 5,56
2/17/2017,TEAM 1,36
2/17/2017,TEAM 2,33
2/17/2017,TEAM 3,18
2/17/2017,TEAM 4,15
2/17/2017,TEAM 5,33
2/18/2017,TEAM 1,37
2/18/2017,TEAM 2,34
2/18/2017,TEAM 3,33
2/18/2017,TEAM 4,60
2/18/2017,TEAM 5,59
2/19/2017,TEAM 1,23
2/19/2017,TEAM 2,32
2/19/2017,TEAM 3,26
2/19/2017,TEAM 4,27
2/19/2017,TEAM 5,26
2/20/2017,TEAM 1,15
2/20/2017,TEAM 2,21
2/20/2017,TEAM 3,19
2/20/2017,TEAM 5,50
2/21/2017,TEAM 1,51
2/21/2017,TEAM 2,10
2/21/2017,TEAM 3,13
2/21/2017,TEAM 5,54
2/22/2017,TEAM 1,55
2/22/2017,TEAM 2,11
2/22/2017,TEAM 3,60
2/22/2017,TEAM 5,47
2/23/2017,TEAM 1,33
2/23/2017,TEAM 2,60
2/23/2017,TEAM 3,37
2/23/2017,TEAM 5,38
2/24/2017,TEAM 1,22
2/24/2017,TEAM 2,56
2/24/2017,TEAM 3,14
2/24/2017,TEAM 5,52
2/25/2017,TEAM 1,22
2/25/2017,TEAM 2,50
2/25/2017,TEAM 3,60
2/25/2017,TEAM 5,37
2/26/2017,TEAM 1,19
2/26/2017,TEAM 2,39
2/26/2017,TEAM 3,32
2/26/2017,TEAM 5,25
2/27/2017,TEAM 1,26
2/27/2017,TEAM 2,49
2/27/2017,TEAM 3,45
2/27/2017,TEAM 5,27
2/28/2017,TEAM 1,15
2/28/2017,TEAM 2,41
2/28/2017,TEAM 3,19
2/28/2017,TEAM 5,25
3/1/2017,TEAM 1,51
3/1/2017,TEAM 2,27
3/1/2017,TEAM 3,37
3/1/2017,TEAM 5,32
