setting,gaussian,canny,hough,dataset,chart_type,image,line_candidates,vertical_candidates,horizontal_candidates,x_axis_error_px,y_axis_error_px,x_axis_hit_5px,y_axis_hit_5px,both_axes_hit_5px,numeric_tickline_match_3px,numeric_tickline_match_5px,numeric_tickline_total,numeric_coord_mae_px
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,bubble,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\Bubble_9\chart\BubbleChart10.png,322,15,143,1.0,1.0,True,True,True,5,6,32,110.859375
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,bubble,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\Bubble_9\chart\BubbleChart11.png,162,48,89,1.0,1.0,True,True,True,26,26,26,0.8846153846153846
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,bubble,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\Bubble_9\chart\BubbleChart12.png,656,34,473,0.0,0.0,True,True,True,15,17,30,32.11666666666667
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,bubble,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\Bubble_9\chart\BubbleChart14.png,321,64,148,1.0,1.0,True,True,True,14,15,24,15.958333333333334
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,bubble,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\Bubble_9\chart\BubbleChart19.png,353,12,270,1.0,53.0,True,False,False,10,11,26,61.09615384615385
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,bubble,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\Bubble_9\chart\BubbleChart20.png,213,27,158,1.0,1.0,True,True,True,14,15,26,14.038461538461538
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,bubble,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\Bubble_9\chart\BubbleChart26.png,647,27,552,0.0,0.0,True,True,True,14,15,20,14.525
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,bubble,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\Bubble_9\chart\BubbleChart4.png,713,52,379,0.0,0.0,True,True,True,11,12,18,23.444444444444443
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,bubble,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\Bubble_9\chart\BubbleChart7.png,1109,106,663,0.0,0.0,True,True,True,10,10,16,17.875
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\BarChart11.png,173,39,54,0.5,0.0,True,True,True,9,9,9,0.7777777777777778
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\BarChart13.png,75,13,62,16.0,1.0,False,True,False,4,4,15,28.0
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\BarChart16.png,67,24,5,618.0,1.0,False,True,False,6,6,9,12.333333333333334
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\BarChart1.png,98,19,67,38.0,0.0,False,True,False,5,5,7,29.928571428571427
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\BarChart21.png,178,87,86,1.0,0.0,True,True,True,7,7,7,0.5714285714285714
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\BarChart2.png,122,18,87,1.0,0.0,True,True,True,1,1,13,228.0
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\BarChart8.png,311,108,112,1.0,0.0,True,True,True,3,3,23,124.67391304347827
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\GroupedBarChart12.png,141,31,80,1.0,0.0,True,True,True,6,6,7,3.2142857142857144
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\GroupedBarChart16.png,72,21,47,0.0,0.0,True,True,True,6,6,11,22.727272727272727
none__canny_20_80__hough15_l20_g20,none,canny_20_80,hough15_l20_g20,Final-RealDataset,h_bar,backend\datasets\VisHintPrompt_datasets\Final-RealDataset\hBar_12\chart\GroupedBarChart18.png,114,22,86,0.0,0.0,True,True,True,5,5,11,32.45454545454545
