setting,samples,avg_line_candidates,x_axis_hit_5px,y_axis_hit_5px,both_axes_hit_5px,numeric_tickline_recall_3px,numeric_tickline_recall_5px,numeric_coord_mae_px
none__canny_20_80__hough15_l20_g20,324,181.0030864197531,0.845679012345679,0.5925925925925926,0.5123456790123457,0.27800269905533065,0.30460767302872566,77.2777702278131
none__canny_30_100__hough15_l20_g20,324,181.08333333333334,0.8395061728395061,0.5925925925925926,0.5123456790123457,0.26797763639868905,0.2951609793715057,78.5924100309449
none__canny_50_150__hough15_l20_g20,324,181.5895061728395,0.8425925925925926,0.5864197530864198,0.5092592592592593,0.24812030075187969,0.27877385772122615,81.46029606248482
none__canny_70_210__hough15_l20_g20,324,178.87037037037038,0.8271604938271605,0.5771604938271605,0.49691358024691357,0.2338538654328128,0.2639290534027376,85.34201613815414
g3_s0__canny_20_80__hough15_l20_g20,324,189.7716049382716,0.8425925925925926,0.5925925925925926,0.5154320987654321,0.2496626180836707,0.27549643339117025,80.96643983252333
g3_s0__canny_30_100__hough15_l20_g20,324,189.34876543209876,0.8487654320987654,0.5740740740740741,0.5030864197530864,0.23848081742818586,0.2658569500674764,83.58316488065785
g3_s0__canny_50_150__hough15_l20_g20,324,185.2006172839506,0.8271604938271605,0.5802469135802469,0.5030864197530864,0.22363601310969733,0.25274725274725274,87.93799030964126
g3_s0__canny_70_210__hough15_l20_g20,324,181.6141975308642,0.8302469135802469,0.5524691358024691,0.4876543209876543,0.20917678812415655,0.2396375554270291,90.91822857956721
g5_s1__canny_20_80__hough15_l20_g20,324,189.78086419753086,0.8240740740740741,0.5802469135802469,0.49382716049382713,0.2313475997686524,0.2608444187391556,82.896048665772
g5_s1__canny_30_100__hough15_l20_g20,324,188.070987654321,0.8302469135802469,0.5679012345679012,0.49074074074074076,0.22247927511085405,0.25197609408135724,86.92797551948638
g5_s1__canny_50_150__hough15_l20_g20,324,183.15123456790124,0.8209876543209876,0.5648148148148148,0.4845679012345679,0.21553884711779447,0.24368613842298054,91.74194889454002
g5_s1__canny_70_210__hough15_l20_g20,324,179.21296296296296,0.8271604938271605,0.5432098765432098,0.4722222222222222,0.20763447079236552,0.23616734143049933,95.63943125694823
none__canny_30_100__hough10_l20_g20,324,203.63888888888889,0.8641975308641975,0.6327160493827161,0.5648148148148148,0.28725660304607675,0.3152111046847889,69.59963130280649
none__canny_30_100__hough20_l20_g20,324,159.53395061728395,0.8209876543209876,0.5709876543209876,0.48148148148148145,0.25024098708309234,0.27607480239059184,88.01361400204279
